x,y
199.0,245.0
199.0,245.0
198.0,250.0
198.0,248.0
198.0,248.0
203.0,249.0
206.0,250.0
206.0,250.0
206.0,250.0
200.0,244.0
200.0,244.0
208.0,251.0
223.0,260.0
223.0,260.0
236.0,274.0
250.0,292.0
250.0,292.0
264.0,310.0
275.0,329.0
275.0,329.0
283.0,341.0
294.0,370.0
294.0,370.0
304.0,399.0
312.0,426.0
312.0,426.0
312.0,426.0
316.0,450.0
316.0,450.0
318.0,477.0
319.0,511.0
319.0,511.0
319.0,511.0
319.0,511.0
321.0,533.0
316.0,550.0
307.0,556.0
307.0,556.0
307.0,556.0
293.0,558.0
281.0,561.0
281.0,561.0
272.0,553.0
272.0,553.0
272.0,553.0
271.0,537.0
271.0,537.0
264.0,521.0
264.0,521.0
263.0,495.0
263.0,495.0
265.0,468.0
265.0,468.0
273.0,436.0
277.0,378.0
284.0,349.0
284.0,328.0
284.0,328.0
284.0,328.0
287.0,311.0
290.0,296.0
290.0,296.0
294.0,283.0
294.0,283.0
294.0,275.0
297.0,264.0
297.0,264.0
297.0,264.0
297.0,264.0
300.0,252.0
301.0,236.0
303.0,226.0
303.0,226.0
303.0,226.0
307.0,212.0
307.0,194.0
307.0,194.0
316.0,181.0
316.0,181.0
316.0,181.0
323.0,169.0
342.0,163.0
342.0,163.0
342.0,163.0
357.0,162.0
375.0,166.0
397.0,176.0
397.0,176.0
397.0,176.0
411.0,194.0
419.0,221.0
419.0,221.0
422.0,238.0
422.0,238.0
422.0,238.0
424.0,257.0
423.0,271.0
423.0,271.0
423.0,271.0
416.0,279.0
407.0,282.0
395.0,286.0
395.0,286.0
395.0,286.0
384.0,281.0
380.0,276.0
380.0,276.0
386.0,272.0
386.0,272.0
386.0,272.0
398.0,265.0
417.0,262.0
417.0,262.0
417.0,262.0
437.0,266.0
437.0,266.0
453.0,273.0
464.0,285.0
464.0,285.0
467.0,293.0
466.0,296.0
466.0,296.0
466.0,295.0
465.0,285.0
465.0,285.0
462.0,267.0
464.0,249.0
464.0,249.0
466.0,234.0
462.0,222.0
462.0,222.0
462.0,222.0
466.0,206.0
466.0,206.0
466.0,206.0
472.0,197.0
483.0,190.0
483.0,190.0
497.0,189.0
497.0,189.0
512.0,191.0
529.0,197.0
529.0,197.0
547.0,208.0
547.0,208.0
562.0,224.0
562.0,224.0
582.0,237.0
582.0,237.0
582.0,237.0
602.0,245.0
602.0,245.0
623.0,262.0
631.0,281.0
631.0,281.0
631.0,281.0
642.0,296.0
642.0,296.0
643.0,303.0
631.0,312.0
631.0,312.0
617.0,314.0
599.0,306.0
599.0,306.0
599.0,306.0
581.0,295.0
581.0,295.0
571.0,287.0
562.0,272.0
562.0,272.0
557.0,258.0
556.0,238.0
556.0,238.0
556.0,238.0
565.0,225.0
571.0,215.0
571.0,215.0
581.0,205.0
581.0,205.0
581.0,205.0
590.0,197.0
590.0,197.0
604.0,192.0
620.0,197.0
620.0,197.0
627.0,215.0
627.0,240.0
627.0,240.0
627.0,257.0
620.0,263.0
620.0,263.0
620.0,263.0
617.0,279.0
617.0,279.0
621.0,287.0
621.0,289.0
621.0,289.0
621.0,288.0
619.0,279.0
619.0,279.0
619.0,279.0
620.0,261.0
620.0,261.0
621.0,250.0
627.0,231.0
627.0,231.0
637.0,218.0
649.0,206.0
649.0,206.0
657.0,205.0
668.0,217.0
668.0,217.0
680.0,232.0
692.0,254.0
692.0,254.0
692.0,254.0
697.0,268.0
697.0,268.0
700.0,277.0
693.0,281.0
693.0,281.0
690.0,275.0
688.0,274.0
688.0,274.0
