x,y
694.0,519.0
694.0,519.0
691.0,515.0
691.0,516.0
689.0,514.0
685.0,501.0
684.0,497.0
682.0,490.0
675.0,454.0
672.0,443.0
672.0,432.0
671.0,403.0
674.0,401.0
676.0,394.0
678.0,387.0
686.0,364.0
689.0,360.0
691.0,356.0
710.0,348.0
714.0,349.0
719.0,353.0
724.0,356.0
741.0,375.0
744.0,381.0
747.0,389.0
753.0,406.0
754.0,411.0
752.0,409.0
738.0,417.0
735.0,413.0
731.0,414.0
731.0,404.0
736.0,403.0
737.0,400.0
763.0,392.0
768.0,391.0
772.0,391.0
787.0,397.0
792.0,399.0
794.0,400.0
796.0,403.0
796.0,407.0
796.0,405.0
795.0,403.0
787.0,388.0
788.0,382.0
787.0,378.0
786.0,370.0
793.0,357.0
796.0,355.0
801.0,353.0
819.0,345.0
825.0,344.0
831.0,346.0
847.0,352.0
852.0,354.0
854.0,357.0
861.0,374.0
862.0,378.0
861.0,381.0
858.0,386.0
847.0,395.0
845.0,397.0
843.0,396.0
830.0,384.0
828.0,380.0
824.0,377.0
820.0,361.0
821.0,354.0
821.0,351.0
819.0,348.0
825.0,332.0
829.0,330.0
832.0,330.0
843.0,327.0
848.0,326.0
852.0,327.0
863.0,330.0
866.0,333.0
866.0,337.0
871.0,339.0
883.0,349.0
886.0,352.0
888.0,354.0
894.0,368.0
897.0,372.0
897.0,375.0
897.0,383.0
898.0,383.0
900.0,384.0
902.0,378.0
901.0,376.0
900.0,369.0
900.0,369.0
895.0,354.0
895.0,351.0
895.0,346.0
892.0,334.0
891.0,326.0
891.0,324.0
891.0,326.0
892.0,327.0
895.0,328.0
897.0,332.0
897.0,340.0
904.0,357.0
906.0,360.0
914.0,371.0
916.0,375.0
920.0,375.0
925.0,376.0
934.0,369.0
935.0,366.0
934.0,354.0
935.0,351.0
937.0,348.0
936.0,345.0
931.0,331.0
932.0,329.0
932.0,328.0
939.0,324.0
939.0,325.0
941.0,322.0
941.0,324.0
952.0,326.0
953.0,330.0
954.0,334.0
954.0,349.0
955.0,356.0
950.0,362.0
949.0,373.0
929.0,408.0
916.0,418.0
898.0,427.0
893.0,428.0
885.0,432.0
856.0,433.0
852.0,433.0
846.0,431.0
837.0,423.0
835.0,423.0
834.0,420.0
834.0,420.0
845.0,431.0
850.0,434.0
864.0,447.0
867.0,451.0
873.0,457.0
880.0,463.0
882.0,466.0
882.0,459.0
883.0,454.0
886.0,442.0
889.0,436.0
891.0,424.0
891.0,416.0
898.0,401.0
899.0,401.0
901.0,399.0
906.0,410.0
907.0,420.0
908.0,426.0
910.0,432.0
918.0,454.0
918.0,460.0
935.0,474.0
940.0,478.0
944.0,477.0
947.0,478.0
950.0,468.0
949.0,466.0
950.0,462.0
948.0,457.0
935.0,439.0
933.0,437.0
931.0,437.0
928.0,434.0
928.0,433.0
929.0,432.0
931.0,428.0
931.0,429.0
933.0,428.0
931.0,429.0
928.0,431.0
