x,y
499.0,591.0
499.0,592.0
500.0,591.0
502.0,584.0
502.0,583.0
501.0,582.0
503.0,564.0
503.0,561.0
502.0,554.0
504.0,525.0
504.0,519.0
505.0,513.0
505.0,476.0
506.0,466.0
507.0,458.0
506.0,423.0
506.0,417.0
507.0,408.0
519.0,378.0
524.0,372.0
529.0,364.0
534.0,357.0
558.0,360.0
567.0,361.0
569.0,367.0
581.0,396.0
580.0,405.0
581.0,413.0
572.0,437.0
569.0,440.0
566.0,439.0
560.0,433.0
560.0,432.0
562.0,429.0
562.0,426.0
576.0,417.0
579.0,418.0
583.0,417.0
602.0,435.0
602.0,436.0
604.0,439.0
604.0,442.0
604.0,438.0
602.0,432.0
601.0,428.0
600.0,402.0
602.0,398.0
603.0,389.0
616.0,372.0
620.0,368.0
624.0,366.0
642.0,376.0
648.0,383.0
653.0,391.0
656.0,399.0
660.0,426.0
661.0,429.0
660.0,431.0
661.0,425.0
662.0,421.0
662.0,416.0
667.0,386.0
669.0,382.0
674.0,377.0
678.0,375.0
705.0,368.0
711.0,368.0
718.0,370.0
740.0,387.0
744.0,394.0
750.0,400.0
753.0,425.0
752.0,428.0
748.0,433.0
743.0,436.0
719.0,441.0
713.0,440.0
702.0,431.0
694.0,412.0
694.0,406.0
692.0,401.0
712.0,375.0
718.0,368.0
728.0,363.0
761.0,367.0
765.0,373.0
767.0,383.0
769.0,422.0
763.0,429.0
758.0,434.0
738.0,440.0
737.0,437.0
737.0,434.0
739.0,433.0
756.0,425.0
763.0,426.0
770.0,425.0
785.0,434.0
789.0,438.0
792.0,440.0
798.0,441.0
805.0,426.0
808.0,420.0
809.0,412.0
815.0,385.0
817.0,379.0
818.0,374.0
825.0,367.0
826.0,369.0
828.0,374.0
831.0,399.0
840.0,414.0
840.0,414.0
861.0,427.0
866.0,430.0
871.0,430.0
879.0,426.0
882.0,428.0
894.0,399.0
894.0,399.0
897.0,378.0
896.0,380.0
897.0,378.0
899.0,376.0
900.0,374.0
899.0,378.0
899.0,378.0
884.0,392.0
875.0,398.0
864.0,405.0
848.0,415.0
781.0,448.0
781.0,448.0
734.0,458.0
723.0,459.0
714.0,459.0
706.0,459.0
692.0,462.0
683.0,470.0
683.0,470.0
696.0,475.0
700.0,479.0
707.0,484.0
721.0,490.0
727.0,495.0
758.0,510.0
758.0,510.0
769.0,510.0
771.0,509.0
775.0,505.0
778.0,500.0
796.0,487.0
800.0,484.0
808.0,481.0
810.0,480.0
809.0,483.0
807.0,487.0
795.0,505.0
792.0,510.0
785.0,525.0
785.0,530.0
781.0,541.0
780.0,544.0
780.0,549.0
783.0,552.0
785.0,550.0
798.0,546.0
812.0,543.0
818.0,541.0
826.0,538.0
850.0,524.0
856.0,521.0
860.0,518.0
860.0,518.0
874.0,514.0
871.0,513.0
871.0,514.0
870.0,513.0
