x,y
751.0,588.0
753.0,587.0
753.0,586.0
754.0,585.0
759.0,576.0
757.0,567.0
759.0,560.0
757.0,539.0
757.0,539.0
755.0,522.0
756.0,511.0
750.0,439.0
752.0,419.0
751.0,398.0
753.0,381.0
755.0,327.0
753.0,316.0
754.0,314.0
772.0,312.0
784.0,315.0
792.0,316.0
799.0,319.0
808.0,319.0
796.0,320.0
794.0,328.0
804.0,341.0
812.0,355.0
820.0,383.0
818.0,396.0
814.0,405.0
779.0,425.0
772.0,421.0
766.0,415.0
764.0,406.0
793.0,384.0
808.0,384.0
835.0,386.0
851.0,392.0
859.0,394.0
867.0,401.0
884.0,416.0
884.0,420.0
881.0,417.0
877.0,420.0
871.0,415.0
860.0,400.0
856.0,392.0
853.0,373.0
856.0,367.0
863.0,358.0
874.0,349.0
889.0,343.0
906.0,340.0
925.0,338.0
955.0,344.0
968.0,353.0
976.0,397.0
976.0,397.0
968.0,408.0
905.0,416.0
882.0,405.0
876.0,394.0
869.0,382.0
865.0,371.0
864.0,356.0
877.0,331.0
888.0,324.0
902.0,325.0
922.0,320.0
957.0,327.0
972.0,334.0
980.0,344.0
985.0,358.0
984.0,400.0
980.0,409.0
979.0,416.0
977.0,416.0
980.0,412.0
984.0,354.0
984.0,343.0
990.0,333.0
996.0,324.0
1031.0,321.0
1038.0,319.0
1044.0,322.0
1045.0,326.0
1043.0,329.0
1041.0,332.0
1035.0,339.0
987.0,387.0
987.0,387.0
974.0,404.0
957.0,420.0
923.0,451.0
878.0,503.0
873.0,512.0
868.0,518.0
866.0,522.0
864.0,524.0
864.0,524.0
865.0,525.0
893.0,521.0
903.0,516.0
913.0,519.0
921.0,516.0
931.0,515.0
958.0,506.0
968.0,503.0
990.0,496.0
997.0,493.0
1004.0,492.0
1009.0,491.0
1019.0,483.0
1020.0,489.0
1020.0,488.0
1021.0,488.0
1021.0,488.0
1018.0,489.0
1015.0,490.0
1015.0,493.0
1017.0,494.0
1017.0,494.0
1015.0,492.0
1014.0,494.0
1014.0,494.0
1013.0,495.0
1011.0,495.0
1011.0,493.0
1010.0,493.0
