x,y
647.0,624.0
646.0,619.0
645.0,615.0
641.0,609.0
634.0,577.0
637.0,568.0
639.0,554.0
635.0,544.0
636.0,531.0
632.0,474.0
635.0,462.0
632.0,450.0
632.0,438.0
626.0,403.0
625.0,391.0
624.0,385.0
623.0,380.0
625.0,370.0
623.0,358.0
622.0,352.0
622.0,351.0
621.0,351.0
618.0,365.0
620.0,372.0
621.0,373.0
622.0,391.0
630.0,410.0
633.0,415.0
636.0,424.0
639.0,429.0
663.0,444.0
674.0,452.0
681.0,451.0
681.0,451.0
690.0,449.0
706.0,441.0
710.0,438.0
714.0,434.0
716.0,432.0
720.0,426.0
727.0,408.0
728.0,403.0
727.0,395.0
724.0,388.0
707.0,369.0
705.0,364.0
696.0,361.0
691.0,359.0
686.0,358.0
679.0,355.0
659.0,351.0
651.0,351.0
645.0,348.0
639.0,348.0
633.0,349.0
628.0,351.0
629.0,350.0
639.0,349.0
648.0,346.0
655.0,348.0
664.0,346.0
674.0,345.0
721.0,333.0
729.0,330.0
738.0,332.0
747.0,332.0
747.0,332.0
783.0,329.0
794.0,332.0
803.0,333.0
820.0,342.0
824.0,345.0
826.0,348.0
831.0,352.0
832.0,357.0
833.0,372.0
832.0,376.0
829.0,386.0
825.0,396.0
821.0,401.0
817.0,405.0
813.0,409.0
796.0,414.0
789.0,412.0
784.0,411.0
776.0,409.0
771.0,407.0
757.0,398.0
741.0,380.0
739.0,375.0
739.0,369.0
739.0,369.0
749.0,350.0
760.0,341.0
766.0,339.0
772.0,336.0
778.0,337.0
783.0,335.0
801.0,336.0
808.0,338.0
815.0,342.0
816.0,346.0
823.0,360.0
833.0,389.0
833.0,395.0
833.0,401.0
830.0,404.0
829.0,408.0
829.0,408.0
827.0,410.0
823.0,405.0
825.0,399.0
826.0,391.0
827.0,385.0
828.0,374.0
824.0,349.0
828.0,342.0
835.0,329.0
840.0,326.0
845.0,321.0
847.0,319.0
852.0,320.0
857.0,323.0
869.0,354.0
869.0,354.0
873.0,361.0
881.0,378.0
887.0,388.0
891.0,393.0
900.0,406.0
900.0,403.0
897.0,398.0
894.0,388.0
891.0,379.0
891.0,379.0
887.0,361.0
885.0,318.0
886.0,312.0
886.0,310.0
886.0,310.0
885.0,312.0
882.0,316.0
882.0,340.0
885.0,349.0
890.0,359.0
890.0,367.0
895.0,378.0
908.0,399.0
910.0,402.0
913.0,403.0
918.0,404.0
919.0,401.0
923.0,386.0
924.0,380.0
924.0,377.0
922.0,371.0
926.0,362.0
927.0,357.0
926.0,349.0
932.0,325.0
935.0,320.0
939.0,315.0
943.0,314.0
947.0,312.0
957.0,321.0
955.0,326.0
952.0,330.0
947.0,336.0
909.0,366.0
896.0,376.0
883.0,388.0
873.0,399.0
865.0,411.0
855.0,421.0
842.0,427.0
800.0,452.0
794.0,457.0
788.0,463.0
785.0,468.0
784.0,473.0
783.0,475.0
782.0,476.0
782.0,477.0
805.0,478.0
817.0,479.0
826.0,478.0
839.0,478.0
850.0,479.0
896.0,481.0
910.0,476.0
918.0,479.0
922.0,479.0
925.0,481.0
926.0,477.0
924.0,477.0
924.0,477.0
923.0,479.0
921.0,477.0
920.0,478.0
918.0,477.0
918.0,476.0
918.0,478.0
917.0,477.0
914.0,475.0
