x,y
717.0,395.0
722.0,398.0
747.0,407.0
762.0,421.0
814.0,475.0
826.0,494.0
837.0,511.0
842.0,525.0
841.0,536.0
835.0,542.0
827.0,542.0
790.0,458.0
784.0,430.0
780.0,398.0
780.0,398.0
802.0,283.0
821.0,287.0
835.0,297.0
843.0,312.0
847.0,324.0
848.0,336.0
832.0,361.0
827.0,357.0
823.0,355.0
818.0,347.0
821.0,335.0
829.0,329.0
840.0,324.0
846.0,326.0
886.0,333.0
898.0,340.0
906.0,344.0
914.0,348.0
917.0,356.0
922.0,369.0
916.0,371.0
907.0,372.0
897.0,371.0
867.0,332.0
867.0,332.0
866.0,319.0
864.0,307.0
865.0,298.0
880.0,293.0
905.0,326.0
905.0,340.0
906.0,344.0
911.0,352.0
911.0,354.0
911.0,354.0
912.0,346.0
914.0,301.0
922.0,297.0
930.0,299.0
936.0,304.0
942.0,311.0
948.0,319.0
963.0,352.0
970.0,355.0
968.0,350.0
966.0,344.0
963.0,329.0
962.0,318.0
957.0,307.0
955.0,299.0
954.0,301.0
962.0,318.0
967.0,331.0
976.0,343.0
982.0,353.0
992.0,360.0
1002.0,362.0
1016.0,341.0
1016.0,333.0
1012.0,323.0
1012.0,323.0
1019.0,306.0
1026.0,305.0
1036.0,304.0
1044.0,304.0
1073.0,326.0
1065.0,327.0
1059.0,330.0
1050.0,336.0
1037.0,344.0
1024.0,356.0
1006.0,363.0
945.0,396.0
938.0,400.0
929.0,402.0
927.0,408.0
930.0,410.0
934.0,416.0
942.0,422.0
989.0,457.0
999.0,463.0
1005.0,467.0
1010.0,471.0
1015.0,470.0
