x,y
258.0,307.0
258.0,306.0
253.0,303.0
254.0,305.0
260.0,314.0
265.0,318.0
292.0,337.0
313.0,366.0
322.0,380.0
322.0,380.0
335.0,404.0
346.0,436.0
345.0,451.0
349.0,480.0
349.0,480.0
332.0,515.0
316.0,527.0
291.0,521.0
282.0,484.0
282.0,484.0
288.0,440.0
290.0,416.0
290.0,416.0
296.0,366.0
292.0,309.0
295.0,282.0
295.0,282.0
297.0,242.0
306.0,209.0
321.0,195.0
337.0,194.0
369.0,211.0
369.0,211.0
387.0,236.0
386.0,276.0
377.0,292.0
369.0,302.0
357.0,303.0
337.0,286.0
358.0,268.0
358.0,268.0
374.0,265.0
423.0,257.0
459.0,268.0
495.0,277.0
495.0,277.0
502.0,281.0
499.0,303.0
473.0,311.0
473.0,311.0
434.0,291.0
430.0,286.0
421.0,266.0
422.0,252.0
420.0,240.0
444.0,207.0
451.0,199.0
487.0,207.0
497.0,216.0
499.0,242.0
497.0,270.0
497.0,284.0
494.0,300.0
493.0,304.0
491.0,304.0
492.0,300.0
492.0,280.0
491.0,277.0
489.0,255.0
497.0,234.0
500.0,226.0
500.0,226.0
512.0,217.0
528.0,228.0
534.0,239.0
534.0,239.0
546.0,268.0
559.0,306.0
562.0,329.0
562.0,328.0
562.0,328.0
560.0,310.0
558.0,276.0
557.0,255.0
557.0,255.0
558.0,220.0
560.0,213.0
559.0,225.0
554.0,234.0
554.0,234.0
559.0,266.0
564.0,297.0
568.0,309.0
568.0,309.0
588.0,322.0
611.0,321.0
612.0,312.0
614.0,280.0
614.0,280.0
619.0,207.0
628.0,204.0
633.0,209.0
633.0,209.0
637.0,247.0
656.0,311.0
669.0,370.0
677.0,400.0
677.0,400.0
699.0,448.0
724.0,496.0
732.0,521.0
732.0,521.0
737.0,567.0
720.0,597.0
709.0,603.0
709.0,603.0
679.0,586.0
664.0,547.0
660.0,491.0
661.0,464.0
661.0,464.0
670.0,412.0
668.0,386.0
668.0,341.0
668.0,341.0
665.0,287.0
663.0,243.0
674.0,232.0
672.0,222.0
672.0,222.0
672.0,226.0
664.0,256.0
662.0,269.0
662.0,269.0
668.0,300.0
680.0,329.0
692.0,340.0
713.0,340.0
713.0,340.0
724.0,322.0
733.0,293.0
743.0,277.0
743.0,277.0
753.0,246.0
768.0,229.0
776.0,234.0
781.0,265.0
781.0,265.0
762.0,322.0
722.0,348.0
722.0,348.0
654.0,354.0
572.0,343.0
536.0,342.0
536.0,342.0
485.0,340.0
448.0,338.0
448.0,338.0
455.0,358.0
455.0,358.0
487.0,374.0
504.0,384.0
552.0,417.0
552.0,417.0
576.0,437.0
579.0,438.0
