x,y
713.0,624.0
709.0,621.0
708.0,617.0
705.0,618.0
707.0,613.0
704.0,612.0
702.0,603.0
702.0,600.0
701.0,597.0
699.0,590.0
698.0,584.0
688.0,547.0
684.0,536.0
683.0,525.0
682.0,513.0
683.0,503.0
676.0,450.0
674.0,437.0
673.0,423.0
672.0,412.0
670.0,396.0
660.0,337.0
657.0,325.0
657.0,320.0
657.0,320.0
657.0,321.0
658.0,337.0
656.0,341.0
657.0,350.0
658.0,357.0
660.0,369.0
665.0,380.0
692.0,416.0
702.0,422.0
713.0,424.0
721.0,425.0
732.0,425.0
738.0,421.0
757.0,393.0
756.0,381.0
756.0,373.0
750.0,362.0
748.0,351.0
739.0,344.0
696.0,315.0
686.0,311.0
674.0,310.0
668.0,311.0
662.0,314.0
658.0,315.0
661.0,315.0
693.0,309.0
707.0,307.0
721.0,309.0
739.0,306.0
755.0,305.0
773.0,306.0
837.0,314.0
851.0,319.0
861.0,326.0
874.0,336.0
883.0,346.0
887.0,359.0
882.0,397.0
871.0,399.0
862.0,403.0
851.0,400.0
839.0,400.0
826.0,393.0
786.0,364.0
783.0,354.0
779.0,347.0
776.0,336.0
777.0,330.0
779.0,322.0
785.0,316.0
836.0,298.0
847.0,296.0
876.0,294.0
889.0,296.0
903.0,297.0
947.0,312.0
957.0,316.0
965.0,320.0
970.0,322.0
974.0,323.0
976.0,326.0
979.0,326.0
978.0,329.0
977.0,331.0
972.0,340.0
969.0,348.0
935.0,394.0
922.0,407.0
913.0,422.0
903.0,433.0
893.0,445.0
887.0,457.0
883.0,485.0
885.0,491.0
890.0,494.0
897.0,498.0
904.0,500.0
911.0,503.0
924.0,509.0
933.0,511.0
981.0,539.0
990.0,546.0
997.0,552.0
1000.0,555.0
1003.0,555.0
1000.0,557.0
998.0,558.0
998.0,557.0
994.0,556.0
992.0,556.0
991.0,555.0
990.0,555.0
