x,y
732.0,550.0
729.0,544.0
730.0,537.0
723.0,487.0
718.0,465.0
719.0,439.0
717.0,409.0
719.0,377.0
718.0,354.0
723.0,326.0
728.0,286.0
735.0,294.0
732.0,308.0
732.0,326.0
735.0,345.0
741.0,361.0
782.0,407.0
792.0,414.0
801.0,408.0
809.0,399.0
811.0,390.0
810.0,375.0
782.0,309.0
772.0,299.0
756.0,293.0
748.0,285.0
745.0,283.0
736.0,289.0
749.0,300.0
760.0,300.0
771.0,302.0
787.0,306.0
824.0,324.0
846.0,337.0
916.0,412.0
916.0,425.0
906.0,431.0
893.0,426.0
879.0,417.0
867.0,402.0
856.0,386.0
847.0,367.0
863.0,310.0
878.0,305.0
896.0,314.0
915.0,324.0
927.0,337.0
945.0,356.0
1014.0,399.0
1031.0,406.0
1041.0,415.0
1041.0,422.0
1034.0,417.0
1021.0,413.0
1011.0,400.0
978.0,348.0
986.0,335.0
1010.0,321.0
1050.0,328.0
1082.0,397.0
1069.0,415.0
1049.0,433.0
1033.0,442.0
1011.0,453.0
993.0,463.0
938.0,480.0
939.0,483.0
944.0,487.0
953.0,493.0
966.0,505.0
979.0,514.0
993.0,526.0
1009.0,540.0
1028.0,559.0
