x,y
225.0,404.0
224.0,410.0
224.0,410.0
224.0,409.0
226.0,409.0
229.0,408.0
226.0,407.0
228.0,406.0
247.0,425.0
262.0,439.0
286.0,469.0
289.0,497.0
319.0,551.0
320.0,583.0
299.0,610.0
278.0,613.0
264.0,605.0
243.0,569.0
245.0,512.0
245.0,512.0
245.0,486.0
259.0,355.0
259.0,355.0
269.0,314.0
279.0,296.0
305.0,262.0
312.0,259.0
343.0,284.0
348.0,300.0
348.0,300.0
343.0,347.0
335.0,361.0
318.0,377.0
309.0,373.0
307.0,369.0
310.0,365.0
327.0,357.0
339.0,356.0
349.0,358.0
374.0,364.0
382.0,370.0
386.0,374.0
382.0,369.0
383.0,360.0
383.0,350.0
391.0,326.0
393.0,313.0
396.0,296.0
395.0,276.0
419.0,251.0
419.0,251.0
448.0,244.0
467.0,274.0
463.0,291.0
463.0,291.0
452.0,332.0
431.0,379.0
416.0,398.0
416.0,398.0
397.0,417.0
381.0,429.0
377.0,433.0
378.0,438.0
378.0,438.0
410.0,461.0
449.0,487.0
463.0,500.0
470.0,508.0
470.0,508.0
