x,y
501.0,356.0
509.0,365.0
516.0,376.0
527.0,386.0
527.0,386.0
567.0,428.0
576.0,444.0
589.0,480.0
593.0,498.0
593.0,516.0
593.0,516.0
577.0,556.0
565.0,564.0
540.0,568.0
531.0,561.0
528.0,550.0
528.0,535.0
534.0,497.0
537.0,479.0
539.0,460.0
539.0,423.0
539.0,405.0
542.0,367.0
542.0,367.0
551.0,331.0
563.0,307.0
573.0,299.0
581.0,295.0
592.0,295.0
603.0,296.0
643.0,338.0
649.0,354.0
648.0,378.0
635.0,393.0
623.0,397.0
623.0,397.0
604.0,396.0
604.0,395.0
610.0,391.0
610.0,391.0
635.0,379.0
649.0,373.0
683.0,373.0
683.0,373.0
710.0,378.0
721.0,379.0
743.0,381.0
743.0,381.0
747.0,387.0
737.0,394.0
728.0,397.0
706.0,397.0
706.0,397.0
692.0,381.0
687.0,371.0
678.0,338.0
678.0,338.0
680.0,299.0
698.0,277.0
709.0,269.0
709.0,269.0
736.0,268.0
754.0,272.0
776.0,293.0
776.0,293.0
788.0,314.0
787.0,332.0
777.0,358.0
777.0,358.0
757.0,379.0
737.0,392.0
726.0,398.0
728.0,397.0
728.0,397.0
749.0,395.0
766.0,418.0
763.0,439.0
763.0,439.0
743.0,486.0
730.0,506.0
707.0,538.0
707.0,538.0
687.0,549.0
681.0,549.0
689.0,546.0
689.0,546.0
745.0,521.0
785.0,496.0
785.0,496.0
799.0,482.0
