x,y
294.0,516.0
294.0,516.0
290.0,525.0
290.0,525.0
302.0,498.0
309.0,457.0
309.0,457.0
331.0,366.0
328.0,317.0
328.0,317.0
325.0,240.0
325.0,207.0
325.0,207.0
321.0,185.0
321.0,185.0
331.0,205.0
339.0,242.0
339.0,242.0
338.0,310.0
346.0,332.0
346.0,332.0
361.0,356.0
361.0,356.0
399.0,375.0
419.0,369.0
419.0,369.0
438.0,353.0
438.0,353.0
463.0,306.0
463.0,282.0
463.0,282.0
453.0,265.0
436.0,246.0
412.0,221.0
394.0,212.0
394.0,212.0
373.0,208.0
373.0,208.0
339.0,204.0
332.0,205.0
332.0,205.0
332.0,205.0
333.0,209.0
338.0,209.0
338.0,209.0
363.0,215.0
385.0,219.0
385.0,219.0
422.0,227.0
422.0,227.0
491.0,257.0
517.0,268.0
517.0,268.0
535.0,288.0
547.0,307.0
550.0,324.0
549.0,339.0
549.0,339.0
547.0,350.0
547.0,350.0
545.0,354.0
545.0,354.0
548.0,341.0
548.0,341.0
551.0,326.0
555.0,309.0
555.0,309.0
548.0,252.0
557.0,237.0
557.0,237.0
571.0,224.0
571.0,224.0
571.0,224.0
590.0,213.0
622.0,229.0
630.0,252.0
630.0,252.0
638.0,282.0
638.0,310.0
643.0,335.0
645.0,350.0
645.0,350.0
645.0,355.0
645.0,355.0
646.0,337.0
646.0,337.0
643.0,318.0
643.0,318.0
644.0,289.0
644.0,237.0
655.0,225.0
655.0,225.0
655.0,225.0
683.0,221.0
699.0,229.0
715.0,246.0
715.0,246.0
726.0,270.0
737.0,291.0
748.0,309.0
748.0,309.0
754.0,331.0
754.0,331.0
747.0,341.0
722.0,348.0
711.0,338.0
711.0,338.0
711.0,338.0
702.0,301.0
705.0,279.0
715.0,255.0
715.0,255.0
729.0,236.0
748.0,226.0
762.0,221.0
762.0,221.0
783.0,225.0
783.0,225.0
796.0,241.0
801.0,278.0
801.0,278.0
800.0,294.0
800.0,294.0
794.0,310.0
794.0,310.0
772.0,340.0
760.0,345.0
750.0,346.0
750.0,346.0
750.0,346.0
748.0,333.0
763.0,323.0
763.0,323.0
812.0,315.0
826.0,321.0
826.0,321.0
839.0,326.0
839.0,326.0
842.0,329.0
842.0,330.0
838.0,327.0
838.0,327.0
838.0,327.0
836.0,322.0
836.0,322.0
833.0,290.0
838.0,275.0
838.0,275.0
856.0,243.0
873.0,240.0
873.0,240.0
875.0,250.0
875.0,250.0
878.0,292.0
874.0,311.0
874.0,311.0
860.0,339.0
860.0,339.0
811.0,383.0
793.0,386.0
793.0,386.0
778.0,385.0
778.0,385.0
761.0,387.0
754.0,391.0
754.0,391.0
748.0,410.0
754.0,415.0
754.0,415.0
763.0,422.0
763.0,422.0
772.0,413.0
769.0,395.0
769.0,395.0
759.0,369.0
759.0,369.0
728.0,329.0
718.0,325.0
718.0,325.0
718.0,332.0
718.0,332.0
721.0,352.0
711.0,360.0
711.0,360.0
693.0,368.0
693.0,368.0
653.0,382.0
638.0,390.0
638.0,390.0
629.0,398.0
629.0,398.0
623.0,407.0
624.0,411.0
624.0,411.0
632.0,416.0
632.0,416.0
655.0,423.0
662.0,419.0
662.0,419.0
663.0,410.0
663.0,410.0
657.0,374.0
650.0,359.0
650.0,359.0
641.0,340.0
639.0,338.0
639.0,338.0
640.0,338.0
640.0,338.0
646.0,340.0
656.0,352.0
656.0,352.0
667.0,370.0
667.0,370.0
697.0,418.0
707.0,446.0
707.0,446.0
715.0,474.0
715.0,474.0
730.0,509.0
736.0,525.0
736.0,525.0
732.0,539.0
732.0,539.0
708.0,557.0
692.0,567.0
692.0,567.0
683.0,578.0
683.0,578.0
679.0,602.0
686.0,612.0
686.0,612.0
696.0,620.0
696.0,620.0
736.0,614.0
753.0,599.0
753.0,599.0
759.0,575.0
759.0,575.0
744.0,516.0
729.0,492.0
729.0,492.0
716.0,479.0
716.0,479.0
706.0,477.0
704.0,474.0
704.0,474.0
704.0,470.0
704.0,470.0
706.0,468.0
707.0,468.0
707.0,468.0
