x,y
649.0,502.0
652.0,491.0
651.0,479.0
651.0,462.0
649.0,421.0
648.0,398.0
652.0,333.0
653.0,320.0
650.0,322.0
651.0,328.0
648.0,336.0
648.0,351.0
652.0,365.0
670.0,388.0
711.0,396.0
711.0,396.0
715.0,389.0
714.0,381.0
686.0,342.0
667.0,339.0
661.0,341.0
659.0,343.0
661.0,341.0
665.0,341.0
665.0,341.0
695.0,338.0
708.0,340.0
719.0,342.0
743.0,350.0
757.0,358.0
770.0,365.0
778.0,378.0
773.0,395.0
763.0,396.0
755.0,391.0
745.0,387.0
738.0,378.0
733.0,356.0
735.0,346.0
741.0,340.0
749.0,333.0
772.0,349.0
778.0,361.0
785.0,373.0
786.0,383.0
783.0,387.0
789.0,385.0
787.0,374.0
801.0,342.0
803.0,339.0
811.0,339.0
811.0,339.0
821.0,351.0
830.0,369.0
833.0,379.0
842.0,347.0
852.0,341.0
856.0,335.0
879.0,368.0
885.0,391.0
885.0,398.0
886.0,396.0
883.0,389.0
882.0,375.0
877.0,359.0
863.0,285.0
855.0,261.0
853.0,242.0
822.0,177.0
829.0,213.0
831.0,213.0
824.0,225.0
828.0,236.0
829.0,256.0
865.0,305.0
865.0,305.0
883.0,321.0
896.0,348.0
897.0,365.0
897.0,378.0
844.0,439.0
828.0,450.0
815.0,462.0
803.0,475.0
794.0,486.0
794.0,486.0
777.0,503.0
779.0,533.0
784.0,531.0
788.0,526.0
791.0,518.0
791.0,509.0
788.0,495.0
788.0,495.0
777.0,473.0
761.0,447.0
760.0,446.0
