x,y
317.0,542.0
314.0,571.0
311.0,572.0
311.0,572.0
312.0,558.0
312.0,558.0
321.0,497.0
323.0,448.0
323.0,448.0
328.0,404.0
328.0,404.0
344.0,318.0
348.0,279.0
348.0,279.0
363.0,246.0
363.0,246.0
361.0,228.0
361.0,228.0
364.0,244.0
353.0,262.0
353.0,262.0
344.0,279.0
344.0,279.0
347.0,305.0
347.0,305.0
358.0,347.0
370.0,364.0
370.0,364.0
387.0,379.0
387.0,379.0
407.0,383.0
407.0,383.0
462.0,360.0
485.0,333.0
485.0,333.0
500.0,302.0
500.0,302.0
500.0,251.0
483.0,230.0
483.0,230.0
458.0,221.0
458.0,221.0
414.0,218.0
400.0,218.0
400.0,218.0
380.0,232.0
380.0,232.0
369.0,233.0
372.0,233.0
372.0,233.0
381.0,230.0
381.0,230.0
392.0,230.0
392.0,230.0
433.0,223.0
458.0,226.0
458.0,226.0
490.0,234.0
490.0,234.0
525.0,244.0
525.0,244.0
574.0,269.0
588.0,286.0
588.0,286.0
603.0,306.0
603.0,306.0
615.0,319.0
615.0,319.0
637.0,353.0
635.0,366.0
635.0,366.0
622.0,372.0
622.0,372.0
587.0,366.0
571.0,353.0
571.0,353.0
566.0,334.0
566.0,334.0
559.0,310.0
559.0,310.0
570.0,257.0
585.0,233.0
585.0,233.0
602.0,219.0
602.0,219.0
640.0,214.0
653.0,229.0
653.0,229.0
658.0,257.0
658.0,257.0
662.0,276.0
662.0,276.0
662.0,322.0
661.0,339.0
661.0,339.0
660.0,360.0
660.0,360.0
660.0,369.0
660.0,369.0
658.0,378.0
659.0,377.0
659.0,377.0
661.0,363.0
665.0,345.0
671.0,326.0
671.0,298.0
671.0,298.0
676.0,279.0
676.0,279.0
687.0,255.0
687.0,255.0
718.0,243.0
718.0,243.0
729.0,257.0
731.0,279.0
731.0,279.0
733.0,304.0
733.0,304.0
735.0,346.0
734.0,359.0
734.0,359.0
734.0,359.0
731.0,368.0
732.0,376.0
732.0,376.0
732.0,374.0
734.0,367.0
734.0,367.0
734.0,367.0
737.0,351.0
737.0,351.0
737.0,336.0
737.0,295.0
744.0,271.0
757.0,261.0
774.0,258.0
774.0,258.0
787.0,259.0
799.0,269.0
799.0,269.0
799.0,287.0
799.0,287.0
800.0,303.0
803.0,331.0
801.0,353.0
801.0,353.0
799.0,376.0
798.0,384.0
798.0,384.0
799.0,384.0
796.0,379.0
799.0,358.0
799.0,358.0
799.0,334.0
799.0,334.0
798.0,299.0
809.0,265.0
809.0,265.0
828.0,234.0
828.0,234.0
835.0,233.0
835.0,233.0
844.0,248.0
844.0,248.0
841.0,260.0
804.0,310.0
768.0,337.0
768.0,337.0
768.0,337.0
689.0,378.0
655.0,394.0
625.0,408.0
625.0,408.0
604.0,422.0
594.0,432.0
588.0,438.0
588.0,438.0
591.0,442.0
591.0,442.0
595.0,444.0
608.0,443.0
623.0,442.0
643.0,449.0
643.0,449.0
661.0,461.0
661.0,461.0
674.0,468.0
674.0,468.0
679.0,466.0
683.0,458.0
687.0,446.0
696.0,434.0
696.0,434.0
715.0,426.0
719.0,424.0
720.0,427.0
720.0,427.0
720.0,427.0
716.0,430.0
716.0,430.0
705.0,448.0
700.0,465.0
700.0,465.0
693.0,488.0
684.0,506.0
684.0,506.0
684.0,506.0
676.0,557.0
671.0,572.0
671.0,572.0
667.0,584.0
667.0,584.0
665.0,590.0
665.0,590.0
669.0,581.0
680.0,572.0
680.0,572.0
690.0,560.0
690.0,560.0
718.0,532.0
733.0,523.0
733.0,523.0
741.0,516.0
741.0,516.0
744.0,515.0
