x,y
616.0,374.0
626.0,375.0
626.0,375.0
643.0,387.0
696.0,428.0
720.0,453.0
720.0,453.0
734.0,476.0
734.0,476.0
737.0,491.0
737.0,491.0
730.0,498.0
704.0,464.0
691.0,432.0
691.0,432.0
678.0,397.0
678.0,397.0
677.0,322.0
694.0,311.0
718.0,316.0
718.0,316.0
724.0,334.0
724.0,334.0
724.0,350.0
704.0,354.0
712.0,345.0
712.0,345.0
729.0,342.0
729.0,342.0
757.0,345.0
783.0,352.0
783.0,352.0
797.0,374.0
774.0,366.0
774.0,366.0
759.0,350.0
758.0,324.0
766.0,319.0
766.0,319.0
779.0,321.0
779.0,321.0
793.0,325.0
800.0,354.0
789.0,365.0
789.0,365.0
783.0,365.0
783.0,365.0
781.0,361.0
781.0,361.0
791.0,361.0
811.0,365.0
819.0,366.0
819.0,366.0
818.0,360.0
819.0,347.0
819.0,347.0
813.0,323.0
816.0,329.0
816.0,329.0
816.0,344.0
824.0,356.0
824.0,356.0
849.0,366.0
852.0,360.0
852.0,360.0
852.0,350.0
852.0,350.0
855.0,337.0
857.0,318.0
855.0,321.0
855.0,321.0
847.0,329.0
847.0,329.0
831.0,347.0
801.0,369.0
789.0,373.0
776.0,377.0
770.0,380.0
762.0,383.0
745.0,398.0
747.0,406.0
753.0,411.0
758.0,416.0
764.0,424.0
773.0,429.0
798.0,422.0
802.0,416.0
806.0,411.0
811.0,407.0
812.0,402.0
814.0,403.0
816.0,403.0
808.0,421.0
805.0,422.0
806.0,425.0
808.0,432.0
810.0,435.0
815.0,437.0
822.0,441.0
831.0,445.0
867.0,460.0
872.0,463.0
876.0,462.0
877.0,463.0
875.0,462.0
