x,y
707.0,424.0
706.0,406.0
703.0,340.0
701.0,320.0
703.0,300.0
708.0,286.0
715.0,281.0
727.0,278.0
738.0,282.0
769.0,327.0
768.0,337.0
764.0,342.0
761.0,346.0
756.0,342.0
751.0,335.0
748.0,329.0
752.0,319.0
759.0,318.0
819.0,330.0
819.0,330.0
830.0,333.0
837.0,337.0
843.0,340.0
841.0,340.0
835.0,338.0
804.0,303.0
805.0,296.0
811.0,292.0
819.0,292.0
819.0,292.0
858.0,308.0
864.0,317.0
864.0,326.0
854.0,342.0
843.0,348.0
837.0,351.0
828.0,347.0
814.0,336.0
816.0,336.0
816.0,338.0
821.0,342.0
824.0,350.0
833.0,364.0
841.0,370.0
849.0,375.0
872.0,372.0
874.0,365.0
879.0,356.0
880.0,344.0
881.0,342.0
877.0,335.0
865.0,318.0
856.0,311.0
