x,y
435.0,549.0
430.0,556.0
430.0,556.0
420.0,562.0
400.0,569.0
400.0,569.0
400.0,569.0
377.0,566.0
377.0,566.0
351.0,555.0
328.0,532.0
328.0,532.0
328.0,532.0
312.0,507.0
312.0,507.0
309.0,481.0
314.0,455.0
314.0,455.0
335.0,435.0
361.0,416.0
361.0,416.0
361.0,416.0
399.0,411.0
399.0,411.0
446.0,424.0
486.0,433.0
486.0,433.0
486.0,433.0
530.0,462.0
530.0,462.0
561.0,485.0
584.0,505.0
584.0,505.0
584.0,505.0
595.0,525.0
595.0,525.0
589.0,537.0
575.0,548.0
575.0,548.0
551.0,549.0
525.0,539.0
525.0,539.0
525.0,539.0
506.0,523.0
506.0,523.0
495.0,506.0
495.0,487.0
495.0,487.0
499.0,460.0
512.0,433.0
512.0,433.0
531.0,419.0
558.0,419.0
558.0,419.0
558.0,419.0
575.0,446.0
575.0,446.0
578.0,470.0
578.0,490.0
578.0,490.0
585.0,508.0
588.0,523.0
588.0,523.0
588.0,523.0
592.0,535.0
592.0,535.0
591.0,537.0
591.0,527.0
591.0,527.0
591.0,527.0
591.0,513.0
591.0,513.0
589.0,493.0
590.0,472.0
590.0,472.0
591.0,453.0
593.0,434.0
593.0,434.0
593.0,434.0
605.0,421.0
605.0,421.0
628.0,430.0
646.0,457.0
646.0,457.0
646.0,457.0
653.0,482.0
653.0,482.0
655.0,505.0
659.0,523.0
659.0,523.0
659.0,523.0
663.0,531.0
663.0,531.0
663.0,531.0
658.0,503.0
658.0,503.0
656.0,480.0
654.0,461.0
654.0,461.0
654.0,461.0
654.0,443.0
654.0,443.0
654.0,434.0
656.0,440.0
656.0,440.0
656.0,455.0
659.0,476.0
659.0,476.0
659.0,476.0
669.0,503.0
669.0,503.0
682.0,521.0
706.0,530.0
706.0,530.0
733.0,534.0
756.0,529.0
756.0,529.0
766.0,512.0
775.0,484.0
775.0,484.0
775.0,484.0
775.0,454.0
778.0,435.0
778.0,435.0
779.0,420.0
779.0,420.0
780.0,428.0
773.0,444.0
773.0,444.0
772.0,466.0
774.0,491.0
774.0,491.0
784.0,519.0
798.0,534.0
798.0,534.0
798.0,534.0
809.0,538.0
828.0,538.0
828.0,538.0
840.0,529.0
840.0,529.0
849.0,510.0
866.0,485.0
866.0,485.0
866.0,485.0
872.0,447.0
891.0,429.0
891.0,429.0
907.0,427.0
907.0,427.0
917.0,444.0
925.0,465.0
925.0,465.0
931.0,485.0
901.0,480.0
901.0,480.0
