x,y
413.0,409.0
413.0,409.0
414.0,418.0
414.0,418.0
412.0,431.0
412.0,431.0
412.0,431.0
389.0,459.0
389.0,459.0
367.0,459.0
350.0,452.0
350.0,452.0
350.0,452.0
337.0,432.0
334.0,411.0
344.0,389.0
355.0,373.0
355.0,373.0
355.0,373.0
385.0,354.0
412.0,344.0
447.0,345.0
447.0,345.0
477.0,363.0
477.0,363.0
505.0,385.0
527.0,412.0
543.0,429.0
543.0,429.0
548.0,444.0
548.0,444.0
538.0,454.0
521.0,456.0
502.0,452.0
502.0,452.0
484.0,443.0
484.0,443.0
474.0,429.0
474.0,429.0
470.0,415.0
474.0,397.0
474.0,397.0
484.0,383.0
502.0,373.0
502.0,373.0
520.0,377.0
527.0,390.0
527.0,390.0
531.0,414.0
534.0,435.0
534.0,435.0
537.0,456.0
536.0,464.0
536.0,464.0
536.0,459.0
536.0,449.0
536.0,449.0
539.0,433.0
543.0,420.0
543.0,420.0
546.0,405.0
554.0,395.0
554.0,395.0
568.0,394.0
582.0,404.0
582.0,404.0
582.0,404.0
590.0,420.0
599.0,441.0
602.0,457.0
602.0,457.0
602.0,459.0
602.0,459.0
602.0,450.0
602.0,450.0
601.0,434.0
598.0,413.0
598.0,413.0
600.0,397.0
597.0,389.0
597.0,389.0
598.0,396.0
597.0,413.0
597.0,413.0
597.0,413.0
602.0,431.0
602.0,431.0
613.0,445.0
626.0,458.0
626.0,458.0
626.0,458.0
642.0,461.0
642.0,461.0
656.0,453.0
669.0,437.0
669.0,437.0
669.0,437.0
675.0,413.0
675.0,413.0
681.0,394.0
691.0,389.0
691.0,389.0
707.0,392.0
716.0,407.0
716.0,407.0
731.0,437.0
743.0,471.0
743.0,471.0
743.0,471.0
759.0,502.0
759.0,502.0
781.0,536.0
796.0,564.0
796.0,564.0
790.0,589.0
770.0,610.0
770.0,610.0
770.0,610.0
748.0,621.0
748.0,621.0
732.0,616.0
728.0,595.0
728.0,595.0
730.0,575.0
732.0,558.0
732.0,558.0
729.0,531.0
724.0,511.0
724.0,511.0
716.0,481.0
712.0,457.0
712.0,457.0
714.0,441.0
714.0,421.0
714.0,421.0
714.0,421.0
717.0,411.0
717.0,411.0
715.0,402.0
713.0,392.0
713.0,392.0
714.0,386.0
716.0,380.0
716.0,380.0
718.0,379.0
720.0,382.0
720.0,382.0
724.0,397.0
731.0,419.0
731.0,419.0
731.0,419.0
742.0,440.0
742.0,440.0
754.0,454.0
769.0,460.0
769.0,460.0
769.0,460.0
784.0,455.0
796.0,445.0
796.0,445.0
805.0,427.0
805.0,427.0
805.0,401.0
813.0,386.0
813.0,386.0
833.0,381.0
841.0,391.0
841.0,391.0
853.0,413.0
862.0,432.0
862.0,432.0
862.0,432.0
861.0,440.0
