x,y
728.0,571.0
729.0,570.0
728.0,573.0
726.0,575.0
727.0,577.0
720.0,579.0
720.0,581.0
714.0,585.0
713.0,584.0
709.0,584.0
707.0,584.0
698.0,583.0
693.0,581.0
689.0,581.0
685.0,579.0
672.0,562.0
671.0,561.0
671.0,555.0
671.0,555.0
669.0,542.0
670.0,539.0
671.0,533.0
669.0,521.0
672.0,519.0
681.0,506.0
681.0,506.0
686.0,504.0
690.0,501.0
692.0,497.0
697.0,499.0
729.0,510.0
732.0,512.0
735.0,517.0
742.0,524.0
742.0,526.0
743.0,530.0
744.0,533.0
746.0,532.0
745.0,531.0
746.0,531.0
744.0,527.0
744.0,524.0
744.0,522.0
747.0,520.0
754.0,506.0
755.0,502.0
756.0,500.0
757.0,499.0
759.0,497.0
769.0,492.0
773.0,492.0
781.0,494.0
786.0,497.0
791.0,499.0
794.0,502.0
798.0,504.0
816.0,518.0
820.0,521.0
822.0,530.0
821.0,543.0
820.0,545.0
817.0,549.0
816.0,551.0
811.0,554.0
802.0,558.0
799.0,557.0
795.0,559.0
792.0,560.0
789.0,562.0
786.0,561.0
771.0,556.0
771.0,556.0
768.0,554.0
761.0,550.0
760.0,548.0
755.0,546.0
742.0,534.0
740.0,532.0
738.0,527.0
737.0,523.0
737.0,522.0
737.0,522.0
748.0,501.0
750.0,500.0
754.0,497.0
759.0,495.0
764.0,493.0
768.0,492.0
787.0,490.0
792.0,488.0
798.0,492.0
802.0,492.0
806.0,494.0
814.0,511.0
815.0,514.0
817.0,519.0
817.0,525.0
817.0,537.0
816.0,540.0
815.0,541.0
815.0,544.0
815.0,545.0
811.0,545.0
809.0,551.0
808.0,552.0
807.0,551.0
807.0,548.0
809.0,545.0
809.0,539.0
810.0,534.0
808.0,529.0
806.0,526.0
805.0,509.0
804.0,505.0
805.0,501.0
806.0,498.0
808.0,495.0
829.0,490.0
837.0,491.0
845.0,491.0
853.0,490.0
859.0,492.0
867.0,493.0
890.0,499.0
897.0,499.0
899.0,504.0
901.0,506.0
907.0,510.0
911.0,513.0
920.0,528.0
920.0,532.0
921.0,539.0
920.0,540.0
920.0,547.0
908.0,555.0
906.0,555.0
901.0,558.0
897.0,558.0
893.0,559.0
889.0,557.0
884.0,556.0
869.0,551.0
868.0,550.0
864.0,546.0
854.0,534.0
852.0,529.0
850.0,524.0
848.0,521.0
852.0,504.0
853.0,501.0
857.0,499.0
859.0,497.0
860.0,497.0
870.0,492.0
871.0,496.0
874.0,494.0
875.0,495.0
