x,y
675.0,501.0
675.0,502.0
660.0,508.0
657.0,507.0
650.0,499.0
646.0,490.0
644.0,481.0
643.0,469.0
648.0,456.0
686.0,442.0
698.0,451.0
709.0,462.0
721.0,477.0
729.0,494.0
738.0,513.0
746.0,531.0
760.0,602.0
761.0,608.0
760.0,614.0
758.0,613.0
754.0,606.0
739.0,543.0
738.0,515.0
740.0,496.0
739.0,478.0
739.0,460.0
740.0,446.0
746.0,458.0
750.0,467.0
756.0,477.0
775.0,492.0
778.0,486.0
787.0,453.0
793.0,452.0
801.0,455.0
809.0,458.0
820.0,466.0
831.0,475.0
840.0,485.0
832.0,507.0
824.0,503.0
814.0,496.0
808.0,486.0
807.0,475.0
807.0,464.0
810.0,455.0
843.0,457.0
851.0,466.0
856.0,473.0
859.0,481.0
856.0,489.0
853.0,485.0
860.0,450.0
864.0,450.0
870.0,449.0
874.0,456.0
877.0,462.0
882.0,473.0
887.0,506.0
888.0,509.0
886.0,508.0
885.0,499.0
885.0,491.0
886.0,484.0
894.0,443.0
899.0,438.0
904.0,434.0
910.0,437.0
916.0,439.0
921.0,441.0
922.0,448.0
920.0,454.0
903.0,498.0
900.0,508.0
898.0,515.0
894.0,519.0
891.0,521.0
888.0,522.0
886.0,522.0
884.0,512.0
