x,y
472.0,444.0
473.0,444.0
469.0,448.0
469.0,448.0
464.0,456.0
464.0,456.0
464.0,456.0
452.0,462.0
433.0,466.0
433.0,466.0
401.0,460.0
401.0,460.0
375.0,444.0
368.0,428.0
368.0,428.0
361.0,386.0
371.0,358.0
371.0,358.0
395.0,337.0
427.0,323.0
427.0,323.0
427.0,323.0
458.0,324.0
458.0,324.0
491.0,342.0
517.0,365.0
517.0,365.0
517.0,365.0
540.0,397.0
553.0,440.0
553.0,440.0
561.0,481.0
561.0,481.0
563.0,521.0
561.0,554.0
561.0,554.0
553.0,572.0
544.0,573.0
544.0,573.0
533.0,554.0
533.0,524.0
533.0,524.0
532.0,485.0
536.0,433.0
536.0,433.0
537.0,386.0
537.0,349.0
537.0,349.0
541.0,330.0
538.0,337.0
538.0,337.0
535.0,357.0
534.0,376.0
534.0,376.0
537.0,404.0
552.0,433.0
552.0,433.0
552.0,433.0
552.0,433.0
603.0,449.0
603.0,449.0
620.0,428.0
620.0,428.0
628.0,390.0
628.0,390.0
629.0,361.0
649.0,344.0
670.0,343.0
670.0,343.0
670.0,343.0
675.0,370.0
681.0,402.0
681.0,402.0
679.0,432.0
679.0,432.0
682.0,451.0
682.0,454.0
682.0,454.0
682.0,454.0
682.0,454.0
682.0,413.0
682.0,413.0
687.0,383.0
687.0,383.0
697.0,358.0
697.0,358.0
712.0,345.0
736.0,340.0
751.0,359.0
751.0,359.0
774.0,378.0
774.0,378.0
786.0,401.0
786.0,401.0
789.0,426.0
789.0,426.0
778.0,441.0
778.0,441.0
755.0,442.0
737.0,428.0
734.0,400.0
734.0,400.0
743.0,361.0
743.0,361.0
772.0,344.0
772.0,344.0
772.0,344.0
803.0,353.0
803.0,353.0
815.0,395.0
815.0,395.0
815.0,395.0
816.0,424.0
817.0,447.0
817.0,447.0
820.0,453.0
820.0,453.0
819.0,434.0
819.0,434.0
828.0,399.0
828.0,399.0
828.0,399.0
830.0,368.0
838.0,349.0
849.0,344.0
849.0,344.0
847.0,348.0
847.0,348.0
835.0,362.0
835.0,362.0
843.0,386.0
852.0,417.0
852.0,417.0
867.0,434.0
882.0,448.0
882.0,448.0
896.0,440.0
896.0,440.0
896.0,440.0
898.0,428.0
902.0,401.0
902.0,401.0
902.0,401.0
908.0,375.0
899.0,344.0
899.0,344.0
934.0,342.0
934.0,342.0
927.0,351.0
937.0,390.0
937.0,390.0
921.0,410.0
921.0,410.0
907.0,432.0
907.0,432.0
887.0,448.0
887.0,448.0
887.0,448.0
861.0,473.0
829.0,495.0
829.0,495.0
796.0,511.0
764.0,519.0
764.0,519.0
751.0,527.0
751.0,527.0
744.0,528.0
736.0,525.0
736.0,525.0
727.0,519.0
727.0,518.0
727.0,518.0
734.0,525.0
746.0,536.0
746.0,536.0
761.0,546.0
776.0,553.0
776.0,553.0
776.0,553.0
787.0,547.0
794.0,534.0
794.0,534.0
804.0,518.0
817.0,505.0
817.0,505.0
822.0,504.0
822.0,504.0
819.0,504.0
