x,y
685.0,422.0
686.0,423.0
678.0,427.0
669.0,422.0
669.0,422.0
658.0,403.0
658.0,403.0
658.0,381.0
658.0,381.0
672.0,369.0
738.0,400.0
766.0,444.0
766.0,444.0
795.0,491.0
804.0,523.0
804.0,523.0
812.0,560.0
804.0,546.0
792.0,513.0
792.0,513.0
781.0,471.0
781.0,471.0
754.0,371.0
748.0,359.0
748.0,359.0
757.0,383.0
773.0,407.0
773.0,407.0
801.0,428.0
801.0,415.0
801.0,415.0
792.0,392.0
792.0,392.0
789.0,367.0
829.0,400.0
840.0,420.0
840.0,420.0
842.0,431.0
842.0,431.0
839.0,422.0
836.0,380.0
843.0,370.0
843.0,370.0
868.0,380.0
892.0,389.0
892.0,389.0
910.0,421.0
906.0,428.0
906.0,428.0
894.0,426.0
887.0,418.0
881.0,407.0
884.0,371.0
897.0,376.0
909.0,381.0
918.0,390.0
929.0,400.0
942.0,407.0
951.0,412.0
986.0,425.0
984.0,426.0
980.0,423.0
970.0,425.0
963.0,419.0
957.0,414.0
948.0,406.0
949.0,379.0
954.0,374.0
965.0,369.0
971.0,369.0
976.0,371.0
967.0,401.0
956.0,415.0
939.0,425.0
910.0,445.0
896.0,450.0
896.0,450.0
882.0,453.0
872.0,456.0
864.0,478.0
869.0,486.0
879.0,491.0
886.0,493.0
909.0,488.0
915.0,482.0
924.0,477.0
942.0,467.0
946.0,471.0
942.0,479.0
938.0,488.0
935.0,496.0
933.0,502.0
941.0,511.0
974.0,521.0
987.0,525.0
995.0,527.0
995.0,529.0
