x,y
484.0,423.0
475.0,427.0
475.0,427.0
475.0,427.0
452.0,430.0
452.0,430.0
423.0,418.0
408.0,396.0
408.0,396.0
406.0,368.0
413.0,335.0
413.0,335.0
413.0,335.0
447.0,311.0
447.0,311.0
486.0,307.0
511.0,334.0
511.0,334.0
525.0,378.0
539.0,428.0
539.0,428.0
539.0,428.0
554.0,480.0
559.0,515.0
559.0,515.0
555.0,546.0
555.0,546.0
542.0,554.0
528.0,545.0
528.0,545.0
528.0,545.0
522.0,510.0
522.0,510.0
524.0,475.0
531.0,431.0
531.0,431.0
536.0,382.0
539.0,338.0
539.0,338.0
539.0,338.0
542.0,296.0
542.0,296.0
543.0,285.0
541.0,306.0
541.0,306.0
541.0,306.0
542.0,334.0
542.0,334.0
549.0,365.0
570.0,385.0
570.0,385.0
590.0,386.0
601.0,366.0
601.0,366.0
606.0,331.0
610.0,301.0
610.0,301.0
610.0,301.0
627.0,288.0
643.0,312.0
643.0,312.0
641.0,355.0
641.0,355.0
634.0,385.0
632.0,396.0
632.0,396.0
635.0,388.0
640.0,360.0
640.0,360.0
650.0,332.0
655.0,323.0
655.0,323.0
672.0,302.0
689.0,319.0
689.0,319.0
701.0,344.0
704.0,375.0
704.0,375.0
705.0,402.0
704.0,408.0
704.0,408.0
704.0,408.0
705.0,391.0
705.0,391.0
710.0,360.0
718.0,333.0
718.0,333.0
730.0,306.0
750.0,305.0
750.0,305.0
750.0,305.0
774.0,314.0
774.0,314.0
793.0,321.0
805.0,351.0
805.0,351.0
805.0,351.0
805.0,378.0
793.0,401.0
793.0,401.0
770.0,400.0
770.0,400.0
751.0,375.0
744.0,341.0
744.0,341.0
758.0,301.0
780.0,298.0
780.0,298.0
798.0,305.0
806.0,325.0
806.0,325.0
810.0,344.0
800.0,359.0
800.0,359.0
800.0,359.0
795.0,392.0
795.0,392.0
775.0,398.0
781.0,393.0
781.0,393.0
801.0,378.0
834.0,377.0
834.0,377.0
834.0,377.0
850.0,387.0
850.0,387.0
861.0,398.0
864.0,405.0
864.0,405.0
863.0,402.0
861.0,383.0
861.0,383.0
861.0,366.0
861.0,343.0
861.0,343.0
861.0,343.0
861.0,326.0
861.0,326.0
871.0,317.0
882.0,321.0
882.0,321.0
881.0,337.0
881.0,361.0
881.0,361.0
876.0,394.0
860.0,419.0
860.0,419.0
838.0,441.0
815.0,447.0
815.0,447.0
815.0,447.0
782.0,451.0
782.0,451.0
776.0,455.0
778.0,461.0
778.0,461.0
778.0,461.0
783.0,461.0
783.0,461.0
795.0,469.0
811.0,483.0
811.0,483.0
819.0,490.0
821.0,486.0
821.0,486.0
827.0,466.0
838.0,439.0
838.0,439.0
851.0,434.0
848.0,434.0
848.0,434.0
848.0,434.0
840.0,440.0
840.0,440.0
829.0,456.0
807.0,472.0
807.0,472.0
785.0,487.0
770.0,509.0
770.0,509.0
752.0,522.0
737.0,533.0
737.0,533.0
733.0,535.0
740.0,540.0
740.0,540.0
758.0,550.0
783.0,570.0
783.0,570.0
810.0,585.0
832.0,594.0
832.0,594.0
