x,y
660.0,496.0
660.0,496.0
661.0,497.0
660.0,507.0
659.0,513.0
659.0,513.0
655.0,517.0
649.0,519.0
649.0,519.0
637.0,511.0
631.0,504.0
625.0,496.0
625.0,496.0
617.0,476.0
616.0,465.0
616.0,465.0
620.0,436.0
620.0,436.0
636.0,432.0
645.0,437.0
645.0,437.0
670.0,453.0
686.0,466.0
699.0,480.0
699.0,480.0
723.0,509.0
731.0,524.0
739.0,540.0
739.0,540.0
751.0,565.0
756.0,576.0
758.0,586.0
758.0,586.0
759.0,593.0
759.0,593.0
755.0,604.0
752.0,601.0
747.0,594.0
747.0,594.0
736.0,573.0
730.0,557.0
730.0,557.0
721.0,522.0
718.0,501.0
714.0,482.0
714.0,482.0
711.0,455.0
707.0,444.0
705.0,436.0
705.0,436.0
703.0,433.0
703.0,433.0
700.0,437.0
703.0,444.0
707.0,453.0
707.0,453.0
711.0,465.0
711.0,465.0
717.0,474.0
732.0,492.0
741.0,497.0
741.0,497.0
751.0,497.0
753.0,488.0
753.0,488.0
754.0,479.0
754.0,479.0
754.0,465.0
750.0,436.0
754.0,430.0
754.0,430.0
761.0,428.0
779.0,432.0
787.0,439.0
787.0,439.0
796.0,445.0
796.0,445.0
804.0,454.0
813.0,468.0
814.0,471.0
814.0,471.0
812.0,467.0
810.0,459.0
810.0,459.0
809.0,445.0
815.0,435.0
822.0,431.0
822.0,431.0
828.0,430.0
838.0,431.0
838.0,431.0
860.0,442.0
871.0,454.0
871.0,454.0
880.0,464.0
880.0,464.0
881.0,480.0
873.0,494.0
864.0,497.0
864.0,497.0
854.0,497.0
844.0,492.0
831.0,478.0
831.0,478.0
826.0,468.0
824.0,459.0
824.0,459.0
828.0,443.0
834.0,436.0
834.0,436.0
843.0,434.0
843.0,434.0
852.0,434.0
872.0,446.0
880.0,456.0
880.0,456.0
887.0,471.0
887.0,471.0
888.0,484.0
883.0,511.0
874.0,521.0
874.0,521.0
857.0,527.0
852.0,525.0
848.0,527.0
848.0,527.0
847.0,526.0
847.0,526.0
850.0,528.0
861.0,535.0
871.0,541.0
871.0,541.0
880.0,545.0
880.0,545.0
889.0,552.0
889.0,552.0
914.0,569.0
914.0,569.0
920.0,574.0
920.0,574.0
926.0,579.0
925.0,581.0
925.0,580.0
925.0,580.0
