x,y
626.0,460.0
626.0,461.0
624.0,470.0
623.0,472.0
622.0,472.0
617.0,475.0
603.0,474.0
599.0,472.0
594.0,466.0
591.0,463.0
586.0,459.0
579.0,443.0
574.0,411.0
574.0,401.0
574.0,396.0
577.0,388.0
585.0,368.0
597.0,366.0
606.0,369.0
614.0,372.0
624.0,380.0
661.0,418.0
669.0,428.0
669.0,428.0
676.0,442.0
703.0,484.0
699.0,499.0
705.0,499.0
705.0,511.0
705.0,514.0
704.0,533.0
704.0,537.0
706.0,539.0
708.0,545.0
704.0,549.0
703.0,549.0
701.0,548.0
695.0,530.0
693.0,524.0
693.0,524.0
692.0,514.0
688.0,502.0
688.0,491.0
686.0,481.0
686.0,469.0
682.0,423.0
681.0,409.0
679.0,399.0
680.0,388.0
680.0,388.0
677.0,368.0
679.0,361.0
680.0,347.0
681.0,349.0
684.0,350.0
685.0,355.0
683.0,359.0
682.0,366.0
681.0,371.0
685.0,396.0
688.0,406.0
692.0,414.0
696.0,422.0
702.0,429.0
707.0,433.0
733.0,447.0
738.0,447.0
740.0,445.0
742.0,438.0
742.0,436.0
741.0,429.0
739.0,403.0
739.0,394.0
738.0,387.0
739.0,377.0
742.0,371.0
742.0,364.0
745.0,361.0
747.0,357.0
764.0,355.0
767.0,361.0
770.0,364.0
773.0,371.0
778.0,377.0
782.0,382.0
784.0,389.0
797.0,410.0
804.0,414.0
811.0,423.0
818.0,426.0
828.0,431.0
836.0,433.0
842.0,437.0
869.0,434.0
872.0,438.0
874.0,434.0
875.0,434.0
875.0,435.0
864.0,436.0
858.0,439.0
852.0,437.0
847.0,435.0
842.0,437.0
837.0,436.0
832.0,436.0
815.0,416.0
812.0,412.0
813.0,409.0
811.0,401.0
811.0,394.0
812.0,383.0
815.0,380.0
820.0,374.0
843.0,369.0
846.0,376.0
848.0,377.0
853.0,383.0
854.0,390.0
857.0,399.0
866.0,422.0
869.0,428.0
869.0,432.0
872.0,436.0
871.0,432.0
869.0,422.0
870.0,416.0
871.0,410.0
871.0,403.0
872.0,392.0
876.0,385.0
885.0,369.0
889.0,367.0
893.0,372.0
897.0,377.0
901.0,385.0
904.0,390.0
903.0,407.0
902.0,428.0
901.0,434.0
900.0,431.0
898.0,422.0
894.0,428.0
896.0,418.0
897.0,415.0
898.0,407.0
898.0,398.0
897.0,389.0
900.0,378.0
906.0,359.0
910.0,357.0
914.0,355.0
918.0,357.0
921.0,359.0
925.0,363.0
929.0,369.0
941.0,391.0
943.0,393.0
945.0,402.0
947.0,409.0
949.0,419.0
948.0,425.0
951.0,431.0
949.0,429.0
950.0,430.0
949.0,420.0
951.0,422.0
954.0,413.0
953.0,410.0
963.0,372.0
963.0,363.0
966.0,352.0
968.0,341.0
969.0,333.0
968.0,320.0
955.0,282.0
952.0,269.0
944.0,259.0
939.0,253.0
935.0,249.0
930.0,245.0
922.0,242.0
896.0,248.0
894.0,256.0
893.0,263.0
893.0,273.0
893.0,281.0
894.0,292.0
899.0,302.0
930.0,340.0
942.0,351.0
949.0,355.0
957.0,360.0
965.0,370.0
973.0,376.0
997.0,386.0
1001.0,387.0
1002.0,387.0
999.0,386.0
998.0,384.0
994.0,382.0
989.0,378.0
959.0,362.0
949.0,351.0
939.0,350.0
929.0,347.0
918.0,343.0
907.0,338.0
896.0,333.0
861.0,318.0
853.0,316.0
845.0,312.0
841.0,311.0
835.0,308.0
833.0,307.0
830.0,306.0
830.0,303.0
829.0,303.0
832.0,305.0
833.0,305.0
833.0,304.0
834.0,304.0
