x,y
492.0,494.0
487.0,510.0
476.0,512.0
476.0,512.0
460.0,505.0
443.0,488.0
433.0,469.0
428.0,453.0
427.0,429.0
432.0,409.0
455.0,390.0
480.0,387.0
510.0,401.0
534.0,426.0
551.0,457.0
551.0,457.0
569.0,494.0
588.0,531.0
599.0,571.0
600.0,605.0
589.0,628.0
589.0,628.0
576.0,637.0
566.0,635.0
564.0,625.0
564.0,602.0
562.0,572.0
560.0,527.0
557.0,492.0
557.0,492.0
554.0,462.0
551.0,430.0
551.0,406.0
551.0,391.0
552.0,388.0
551.0,391.0
551.0,391.0
548.0,400.0
548.0,416.0
550.0,436.0
563.0,456.0
581.0,473.0
603.0,479.0
623.0,476.0
623.0,476.0
627.0,460.0
633.0,438.0
640.0,414.0
640.0,414.0
650.0,405.0
664.0,406.0
688.0,416.0
704.0,423.0
725.0,437.0
739.0,447.0
750.0,460.0
747.0,472.0
747.0,472.0
734.0,483.0
718.0,488.0
701.0,483.0
689.0,470.0
689.0,470.0
684.0,451.0
680.0,429.0
687.0,411.0
693.0,396.0
710.0,394.0
710.0,394.0
722.0,397.0
729.0,409.0
735.0,426.0
737.0,444.0
739.0,466.0
738.0,481.0
735.0,485.0
731.0,481.0
733.0,468.0
736.0,439.0
748.0,415.0
748.0,415.0
760.0,397.0
778.0,388.0
779.0,388.0
783.0,408.0
782.0,438.0
780.0,475.0
768.0,511.0
749.0,535.0
737.0,561.0
737.0,561.0
722.0,578.0
709.0,591.0
705.0,598.0
709.0,609.0
719.0,621.0
730.0,626.0
746.0,617.0
746.0,617.0
753.0,593.0
746.0,562.0
728.0,538.0
707.0,522.0
696.0,524.0
695.0,523.0
695.0,523.0
