x,y
583.0,482.0
583.0,483.0
583.0,484.0
581.0,486.0
577.0,488.0
561.0,486.0
557.0,483.0
551.0,481.0
551.0,481.0
543.0,473.0
538.0,467.0
528.0,443.0
528.0,436.0
526.0,428.0
527.0,405.0
533.0,393.0
535.0,388.0
537.0,385.0
542.0,382.0
563.0,375.0
569.0,375.0
576.0,377.0
580.0,381.0
587.0,382.0
595.0,389.0
624.0,417.0
629.0,423.0
635.0,429.0
641.0,434.0
643.0,442.0
647.0,447.0
663.0,473.0
668.0,480.0
668.0,491.0
672.0,495.0
675.0,501.0
680.0,527.0
680.0,534.0
681.0,541.0
681.0,548.0
682.0,552.0
684.0,554.0
679.0,567.0
678.0,586.0
679.0,586.0
675.0,596.0
674.0,596.0
672.0,598.0
674.0,596.0
672.0,590.0
667.0,593.0
667.0,592.0
672.0,578.0
669.0,578.0
667.0,580.0
668.0,558.0
663.0,553.0
663.0,546.0
664.0,536.0
664.0,525.0
664.0,517.0
658.0,476.0
657.0,466.0
656.0,457.0
654.0,447.0
652.0,435.0
653.0,427.0
651.0,418.0
652.0,381.0
654.0,374.0
653.0,365.0
652.0,361.0
653.0,352.0
651.0,344.0
648.0,338.0
642.0,341.0
642.0,344.0
642.0,351.0
643.0,359.0
645.0,366.0
654.0,397.0
657.0,406.0
659.0,412.0
662.0,422.0
668.0,429.0
671.0,435.0
674.0,441.0
695.0,460.0
701.0,463.0
706.0,462.0
709.0,464.0
714.0,462.0
716.0,462.0
717.0,455.0
719.0,428.0
720.0,421.0
714.0,414.0
716.0,401.0
714.0,391.0
713.0,384.0
716.0,360.0
715.0,356.0
715.0,349.0
714.0,345.0
717.0,338.0
718.0,335.0
727.0,333.0
731.0,333.0
734.0,336.0
738.0,343.0
742.0,346.0
746.0,351.0
748.0,358.0
751.0,370.0
751.0,368.0
749.0,366.0
748.0,360.0
748.0,357.0
748.0,356.0
751.0,352.0
761.0,335.0
769.0,332.0
772.0,331.0
780.0,330.0
785.0,331.0
792.0,332.0
797.0,336.0
817.0,357.0
819.0,362.0
820.0,367.0
822.0,376.0
823.0,381.0
821.0,386.0
814.0,408.0
810.0,409.0
807.0,413.0
801.0,414.0
797.0,413.0
793.0,416.0
786.0,415.0
767.0,400.0
764.0,392.0
761.0,388.0
758.0,381.0
758.0,372.0
756.0,366.0
767.0,340.0
769.0,337.0
775.0,333.0
780.0,332.0
787.0,333.0
791.0,336.0
814.0,351.0
819.0,359.0
824.0,367.0
827.0,373.0
830.0,378.0
834.0,388.0
842.0,410.0
844.0,414.0
846.0,417.0
847.0,419.0
847.0,416.0
845.0,416.0
845.0,413.0
844.0,411.0
836.0,383.0
834.0,374.0
834.0,366.0
833.0,360.0
834.0,353.0
837.0,347.0
836.0,340.0
854.0,330.0
860.0,330.0
864.0,329.0
871.0,333.0
877.0,335.0
881.0,339.0
885.0,342.0
892.0,359.0
893.0,362.0
898.0,370.0
899.0,374.0
903.0,379.0
906.0,382.0
908.0,389.0
918.0,396.0
919.0,394.0
920.0,390.0
921.0,388.0
919.0,383.0
918.0,377.0
910.0,351.0
909.0,346.0
902.0,337.0
902.0,334.0
902.0,334.0
899.0,332.0
899.0,332.0
901.0,346.0
904.0,354.0
909.0,360.0
913.0,369.0
926.0,385.0
930.0,391.0
950.0,406.0
953.0,410.0
957.0,411.0
960.0,410.0
963.0,409.0
964.0,404.0
964.0,398.0
965.0,389.0
958.0,368.0
955.0,362.0
955.0,355.0
953.0,347.0
953.0,341.0
955.0,336.0
955.0,334.0
953.0,328.0
954.0,332.0
954.0,332.0
954.0,337.0
958.0,366.0
960.0,371.0
963.0,382.0
969.0,393.0
972.0,397.0
975.0,400.0
983.0,402.0
983.0,399.0
990.0,398.0
988.0,395.0
990.0,387.0
993.0,387.0
993.0,375.0
996.0,369.0
993.0,362.0
994.0,347.0
991.0,343.0
991.0,340.0
992.0,334.0
990.0,332.0
985.0,344.0
982.0,346.0
978.0,355.0
974.0,360.0
966.0,368.0
939.0,392.0
926.0,399.0
904.0,414.0
889.0,418.0
876.0,423.0
864.0,428.0
822.0,434.0
812.0,438.0
801.0,438.0
791.0,440.0
770.0,440.0
764.0,439.0
759.0,436.0
756.0,435.0
759.0,438.0
759.0,438.0
761.0,440.0
763.0,446.0
787.0,485.0
792.0,494.0
797.0,500.0
801.0,502.0
803.0,504.0
813.0,495.0
815.0,493.0
825.0,485.0
831.0,482.0
836.0,481.0
843.0,477.0
860.0,465.0
864.0,464.0
864.0,461.0
864.0,461.0
862.0,461.0
858.0,458.0
854.0,458.0
829.0,433.0
822.0,425.0
814.0,414.0
805.0,405.0
800.0,398.0
800.0,398.0
793.0,387.0
762.0,336.0
756.0,325.0
753.0,316.0
749.0,307.0
743.0,296.0
737.0,272.0
732.0,261.0
732.0,256.0
728.0,252.0
728.0,250.0
729.0,247.0
727.0,247.0
