x,y
825.0,438.0
825.0,442.0
824.0,446.0
817.0,444.0
813.0,438.0
807.0,427.0
799.0,383.0
805.0,371.0
809.0,364.0
825.0,361.0
838.0,363.0
852.0,370.0
878.0,394.0
909.0,480.0
909.0,480.0
916.0,501.0
930.0,559.0
927.0,564.0
920.0,550.0
918.0,538.0
915.0,521.0
914.0,455.0
914.0,432.0
912.0,415.0
912.0,403.0
908.0,396.0
914.0,423.0
918.0,434.0
925.0,444.0
932.0,451.0
932.0,451.0
951.0,461.0
951.0,452.0
946.0,426.0
942.0,413.0
942.0,406.0
937.0,399.0
947.0,403.0
953.0,411.0
960.0,421.0
968.0,431.0
977.0,441.0
985.0,459.0
989.0,465.0
987.0,466.0
984.0,461.0
970.0,421.0
970.0,421.0
966.0,410.0
964.0,401.0
961.0,394.0
957.0,387.0
967.0,408.0
969.0,420.0
972.0,429.0
976.0,443.0
981.0,461.0
981.0,461.0
981.0,475.0
985.0,536.0
987.0,541.0
987.0,542.0
993.0,540.0
994.0,533.0
1002.0,508.0
1000.0,500.0
988.0,486.0
986.0,481.0
979.0,479.0
976.0,479.0
