x,y
518.0,420.0
517.0,421.0
517.0,432.0
516.0,434.0
515.0,436.0
511.0,438.0
508.0,440.0
504.0,440.0
487.0,432.0
484.0,427.0
480.0,421.0
480.0,413.0
477.0,407.0
476.0,397.0
478.0,364.0
481.0,358.0
486.0,354.0
493.0,351.0
500.0,352.0
510.0,357.0
543.0,376.0
550.0,385.0
554.0,393.0
560.0,398.0
566.0,410.0
572.0,421.0
588.0,462.0
590.0,473.0
594.0,484.0
598.0,499.0
612.0,547.0
614.0,554.0
612.0,561.0
611.0,563.0
607.0,567.0
605.0,568.0
603.0,565.0
593.0,540.0
591.0,528.0
589.0,516.0
586.0,503.0
585.0,492.0
582.0,479.0
575.0,439.0
574.0,430.0
575.0,418.0
573.0,407.0
573.0,398.0
568.0,364.0
566.0,360.0
566.0,355.0
566.0,355.0
564.0,354.0
567.0,357.0
573.0,385.0
577.0,394.0
584.0,402.0
588.0,411.0
592.0,417.0
598.0,423.0
603.0,429.0
617.0,422.0
619.0,416.0
621.0,412.0
622.0,403.0
621.0,396.0
623.0,386.0
629.0,359.0
632.0,353.0
637.0,350.0
641.0,349.0
645.0,350.0
650.0,353.0
654.0,358.0
672.0,394.0
677.0,405.0
677.0,416.0
684.0,427.0
686.0,438.0
687.0,444.0
686.0,445.0
684.0,439.0
682.0,430.0
679.0,421.0
678.0,411.0
677.0,400.0
676.0,392.0
674.0,381.0
676.0,355.0
678.0,352.0
683.0,350.0
687.0,350.0
692.0,351.0
696.0,356.0
701.0,359.0
707.0,362.0
707.0,359.0
703.0,356.0
700.0,353.0
699.0,349.0
698.0,343.0
685.0,310.0
683.0,300.0
684.0,288.0
679.0,279.0
678.0,273.0
676.0,265.0
674.0,264.0
670.0,268.0
671.0,269.0
671.0,273.0
675.0,271.0
672.0,274.0
674.0,274.0
672.0,274.0
669.0,276.0
