x,y
557.0,436.0
555.0,438.0
545.0,452.0
540.0,455.0
533.0,458.0
526.0,461.0
518.0,460.0
511.0,459.0
482.0,425.0
480.0,415.0
479.0,409.0
479.0,404.0
491.0,381.0
497.0,379.0
513.0,371.0
524.0,369.0
536.0,371.0
546.0,374.0
557.0,379.0
578.0,390.0
578.0,391.0
578.0,389.0
576.0,382.0
578.0,377.0
583.0,369.0
616.0,363.0
626.0,365.0
635.0,369.0
635.0,369.0
645.0,376.0
654.0,382.0
668.0,418.0
666.0,425.0
660.0,427.0
651.0,429.0
643.0,427.0
618.0,420.0
612.0,421.0
600.0,409.0
596.0,400.0
597.0,391.0
596.0,387.0
598.0,379.0
600.0,375.0
606.0,370.0
628.0,367.0
638.0,368.0
660.0,372.0
666.0,376.0
673.0,382.0
675.0,387.0
665.0,410.0
660.0,406.0
655.0,406.0
653.0,403.0
653.0,403.0
655.0,399.0
667.0,402.0
712.0,416.0
720.0,419.0
728.0,424.0
731.0,427.0
736.0,431.0
741.0,433.0
741.0,433.0
748.0,410.0
747.0,403.0
745.0,393.0
744.0,387.0
743.0,381.0
743.0,376.0
743.0,372.0
743.0,375.0
743.0,379.0
746.0,385.0
748.0,390.0
751.0,402.0
777.0,430.0
785.0,432.0
791.0,433.0
797.0,429.0
798.0,425.0
802.0,420.0
802.0,393.0
802.0,386.0
805.0,382.0
807.0,373.0
813.0,373.0
818.0,371.0
826.0,372.0
852.0,387.0
856.0,392.0
857.0,395.0
859.0,398.0
860.0,401.0
858.0,402.0
859.0,402.0
857.0,402.0
