x,y
535.0,465.0
529.0,468.0
522.0,471.0
515.0,470.0
473.0,459.0
463.0,451.0
458.0,444.0
453.0,434.0
451.0,422.0
449.0,411.0
472.0,374.0
483.0,373.0
499.0,371.0
515.0,374.0
527.0,378.0
575.0,410.0
581.0,423.0
585.0,433.0
586.0,445.0
586.0,450.0
585.0,451.0
583.0,429.0
586.0,423.0
591.0,415.0
602.0,410.0
611.0,406.0
623.0,400.0
656.0,414.0
660.0,422.0
663.0,432.0
664.0,442.0
663.0,453.0
645.0,478.0
636.0,476.0
627.0,474.0
620.0,473.0
612.0,467.0
606.0,461.0
595.0,410.0
600.0,404.0
609.0,398.0
623.0,397.0
637.0,399.0
674.0,420.0
673.0,429.0
673.0,437.0
672.0,445.0
668.0,453.0
655.0,459.0
657.0,456.0
662.0,454.0
666.0,451.0
673.0,448.0
683.0,444.0
719.0,431.0
724.0,432.0
729.0,436.0
731.0,441.0
733.0,449.0
735.0,457.0
734.0,483.0
733.0,486.0
733.0,488.0
734.0,488.0
734.0,487.0
743.0,471.0
749.0,464.0
755.0,460.0
761.0,454.0
767.0,451.0
774.0,449.0
779.0,450.0
791.0,465.0
791.0,473.0
790.0,479.0
789.0,483.0
787.0,484.0
788.0,485.0
787.0,485.0
799.0,453.0
805.0,442.0
806.0,430.0
807.0,416.0
812.0,364.0
808.0,353.0
805.0,345.0
798.0,339.0
773.0,344.0
770.0,351.0
767.0,360.0
766.0,371.0
772.0,385.0
780.0,397.0
812.0,446.0
818.0,454.0
822.0,458.0
826.0,462.0
827.0,466.0
827.0,468.0
825.0,470.0
788.0,476.0
776.0,480.0
763.0,483.0
748.0,489.0
686.0,508.0
669.0,509.0
654.0,508.0
638.0,508.0
625.0,509.0
611.0,510.0
597.0,508.0
563.0,502.0
559.0,502.0
559.0,504.0
560.0,506.0
562.0,509.0
579.0,527.0
588.0,533.0
596.0,539.0
604.0,546.0
608.0,552.0
628.0,558.0
630.0,556.0
635.0,548.0
640.0,548.0
640.0,548.0
646.0,546.0
653.0,543.0
673.0,537.0
675.0,536.0
678.0,535.0
678.0,534.0
679.0,533.0
