x,y
712.0,386.0
715.0,389.0
714.0,389.0
705.0,398.0
698.0,397.0
693.0,393.0
686.0,385.0
680.0,379.0
678.0,370.0
673.0,364.0
689.0,347.0
699.0,348.0
712.0,349.0
722.0,353.0
735.0,356.0
792.0,382.0
804.0,386.0
810.0,388.0
794.0,386.0
784.0,381.0
777.0,371.0
768.0,368.0
765.0,362.0
764.0,353.0
785.0,343.0
794.0,346.0
806.0,350.0
817.0,358.0
822.0,365.0
823.0,372.0
800.0,408.0
791.0,411.0
784.0,415.0
775.0,417.0
773.0,423.0
781.0,438.0
795.0,446.0
805.0,455.0
823.0,462.0
833.0,471.0
844.0,480.0
850.0,484.0
