x,y
569.0,349.0
567.0,353.0
564.0,355.0
564.0,355.0
544.0,354.0
537.0,350.0
530.0,345.0
524.0,338.0
521.0,330.0
517.0,316.0
516.0,305.0
517.0,297.0
525.0,270.0
530.0,261.0
536.0,253.0
543.0,246.0
553.0,241.0
561.0,237.0
580.0,237.0
613.0,248.0
621.0,255.0
632.0,263.0
653.0,296.0
654.0,300.0
652.0,300.0
649.0,297.0
647.0,293.0
646.0,285.0
646.0,278.0
650.0,252.0
654.0,244.0
659.0,236.0
668.0,231.0
688.0,225.0
702.0,225.0
712.0,227.0
742.0,247.0
750.0,256.0
757.0,264.0
761.0,272.0
766.0,277.0
767.0,280.0
767.0,281.0
757.0,256.0
755.0,248.0
755.0,248.0
761.0,222.0
765.0,217.0
776.0,211.0
781.0,208.0
788.0,205.0
796.0,207.0
811.0,211.0
814.0,213.0
814.0,218.0
815.0,222.0
812.0,230.0
806.0,243.0
774.0,286.0
765.0,295.0
755.0,303.0
755.0,303.0
745.0,309.0
733.0,316.0
684.0,343.0
674.0,344.0
665.0,346.0
659.0,348.0
651.0,350.0
642.0,350.0
640.0,351.0
644.0,354.0
648.0,356.0
652.0,359.0
656.0,364.0
663.0,367.0
669.0,371.0
692.0,380.0
699.0,380.0
704.0,379.0
716.0,373.0
720.0,369.0
722.0,364.0
727.0,359.0
742.0,336.0
745.0,331.0
751.0,329.0
751.0,329.0
758.0,325.0
774.0,326.0
779.0,329.0
799.0,341.0
802.0,344.0
802.0,353.0
801.0,355.0
799.0,353.0
798.0,353.0
