x,y
738.0,395.0
738.0,402.0
733.0,416.0
733.0,416.0
723.0,419.0
709.0,412.0
709.0,412.0
694.0,372.0
701.0,354.0
717.0,348.0
717.0,348.0
737.0,358.0
737.0,358.0
771.0,389.0
778.0,402.0
778.0,402.0
778.0,401.0
772.0,357.0
779.0,342.0
779.0,342.0
811.0,368.0
821.0,386.0
821.0,386.0
826.0,394.0
815.0,376.0
817.0,356.0
817.0,356.0
823.0,347.0
838.0,349.0
838.0,349.0
850.0,361.0
850.0,361.0
866.0,377.0
879.0,403.0
878.0,396.0
878.0,396.0
874.0,375.0
874.0,375.0
869.0,356.0
872.0,358.0
880.0,371.0
880.0,371.0
893.0,386.0
893.0,386.0
915.0,394.0
910.0,382.0
910.0,382.0
907.0,362.0
905.0,348.0
905.0,348.0
937.0,358.0
955.0,368.0
955.0,368.0
965.0,379.0
963.0,389.0
963.0,389.0
938.0,388.0
927.0,372.0
922.0,354.0
922.0,354.0
927.0,341.0
927.0,341.0
939.0,340.0
965.0,369.0
962.0,372.0
962.0,372.0
956.0,355.0
956.0,355.0
953.0,313.0
942.0,269.0
942.0,269.0
920.0,234.0
921.0,219.0
921.0,219.0
894.0,220.0
905.0,235.0
905.0,235.0
915.0,252.0
921.0,268.0
934.0,283.0
970.0,352.0
970.0,361.0
955.0,375.0
943.0,381.0
927.0,388.0
908.0,393.0
814.0,426.0
801.0,434.0
791.0,441.0
785.0,448.0
780.0,455.0
787.0,478.0
795.0,482.0
815.0,486.0
822.0,483.0
827.0,479.0
832.0,468.0
839.0,460.0
871.0,452.0
881.0,454.0
892.0,463.0
899.0,471.0
902.0,487.0
896.0,493.0
