x,y
437.0,593.0
431.0,607.0
417.0,611.0
397.0,610.0
377.0,599.0
363.0,582.0
353.0,564.0
356.0,543.0
356.0,543.0
404.0,498.0
441.0,497.0
469.0,507.0
501.0,527.0
530.0,548.0
555.0,573.0
565.0,591.0
558.0,608.0
531.0,611.0
508.0,606.0
490.0,591.0
479.0,545.0
485.0,524.0
507.0,502.0
507.0,502.0
575.0,501.0
593.0,527.0
594.0,557.0
585.0,584.0
573.0,605.0
556.0,619.0
541.0,618.0
541.0,618.0
541.0,618.0
551.0,602.0
582.0,594.0
612.0,597.0
637.0,595.0
654.0,598.0
662.0,595.0
662.0,590.0
662.0,590.0
660.0,575.0
657.0,555.0
655.0,526.0
662.0,507.0
667.0,500.0
665.0,506.0
660.0,525.0
661.0,547.0
661.0,547.0
670.0,574.0
686.0,597.0
702.0,607.0
721.0,602.0
735.0,586.0
735.0,586.0
743.0,554.0
746.0,532.0
743.0,504.0
743.0,504.0
745.0,493.0
747.0,497.0
743.0,514.0
741.0,538.0
748.0,566.0
768.0,591.0
784.0,607.0
803.0,606.0
803.0,606.0
823.0,590.0
836.0,563.0
850.0,536.0
867.0,513.0
896.0,495.0
897.0,497.0
893.0,516.0
865.0,545.0
831.0,578.0
767.0,591.0
692.0,603.0
692.0,603.0
640.0,621.0
610.0,635.0
592.0,653.0
579.0,668.0
571.0,683.0
575.0,691.0
583.0,694.0
598.0,680.0
598.0,680.0
603.0,657.0
601.0,633.0
586.0,611.0
569.0,599.0
569.0,599.0
559.0,595.0
559.0,597.0
