x,y
576.0,488.0
569.0,502.0
569.0,502.0
560.0,519.0
540.0,529.0
540.0,529.0
515.0,523.0
492.0,502.0
492.0,502.0
484.0,469.0
486.0,435.0
486.0,435.0
506.0,410.0
538.0,391.0
538.0,391.0
538.0,391.0
577.0,381.0
577.0,381.0
615.0,386.0
654.0,406.0
654.0,406.0
687.0,429.0
709.0,457.0
709.0,457.0
709.0,457.0
716.0,486.0
716.0,486.0
709.0,506.0
693.0,518.0
693.0,518.0
693.0,518.0
674.0,522.0
674.0,522.0
654.0,511.0
632.0,493.0
632.0,493.0
632.0,493.0
625.0,473.0
625.0,473.0
626.0,451.0
630.0,424.0
630.0,424.0
650.0,408.0
674.0,399.0
674.0,399.0
674.0,399.0
695.0,394.0
695.0,394.0
713.0,399.0
720.0,420.0
720.0,420.0
721.0,444.0
717.0,473.0
717.0,473.0
713.0,494.0
712.0,508.0
712.0,508.0
712.0,508.0
713.0,508.0
713.0,508.0
713.0,498.0
717.0,479.0
717.0,479.0
717.0,479.0
716.0,455.0
716.0,455.0
722.0,431.0
734.0,409.0
734.0,409.0
748.0,402.0
764.0,401.0
764.0,401.0
764.0,401.0
776.0,416.0
776.0,416.0
790.0,440.0
797.0,465.0
797.0,465.0
795.0,489.0
791.0,510.0
791.0,510.0
786.0,514.0
786.0,503.0
786.0,503.0
786.0,503.0
791.0,480.0
791.0,480.0
798.0,452.0
805.0,428.0
805.0,428.0
813.0,412.0
822.0,408.0
822.0,408.0
822.0,408.0
833.0,412.0
833.0,412.0
840.0,432.0
843.0,462.0
843.0,462.0
843.0,462.0
831.0,498.0
831.0,498.0
810.0,530.0
781.0,558.0
781.0,558.0
753.0,579.0
728.0,596.0
728.0,596.0
702.0,613.0
691.0,627.0
691.0,627.0
691.0,627.0
692.0,642.0
692.0,642.0
697.0,655.0
697.0,655.0
710.0,656.0
710.0,656.0
721.0,644.0
721.0,644.0
728.0,625.0
728.0,625.0
730.0,602.0
730.0,602.0
724.0,581.0
724.0,581.0
710.0,570.0
696.0,565.0
696.0,565.0
