x,y
834.0,497.0
834.0,497.0
831.0,520.0
822.0,522.0
822.0,522.0
797.0,513.0
793.0,507.0
789.0,494.0
789.0,494.0
797.0,478.0
797.0,478.0
807.0,478.0
807.0,478.0
819.0,482.0
839.0,527.0
846.0,553.0
846.0,553.0
847.0,573.0
851.0,595.0
851.0,602.0
851.0,602.0
848.0,591.0
848.0,591.0
846.0,576.0
843.0,522.0
843.0,500.0
843.0,500.0
849.0,479.0
849.0,479.0
868.0,471.0
881.0,487.0
889.0,500.0
889.0,500.0
896.0,512.0
896.0,512.0
895.0,520.0
890.0,504.0
890.0,487.0
890.0,487.0
895.0,479.0
895.0,479.0
900.0,475.0
914.0,504.0
917.0,515.0
917.0,515.0
918.0,517.0
918.0,517.0
920.0,512.0
918.0,499.0
918.0,499.0
926.0,470.0
929.0,460.0
929.0,460.0
931.0,467.0
931.0,467.0
926.0,493.0
908.0,530.0
894.0,551.0
894.0,551.0
885.0,567.0
885.0,567.0
878.0,573.0
878.0,573.0
872.0,573.0
886.0,573.0
903.0,562.0
903.0,562.0
929.0,554.0
947.0,549.0
947.0,549.0
954.0,536.0
945.0,543.0
