x,y
514.0,586.0
514.0,586.0
512.0,589.0
512.0,589.0
510.0,592.0
510.0,592.0
509.0,591.0
509.0,591.0
512.0,588.0
512.0,582.0
512.0,582.0
514.0,575.0
516.0,560.0
514.0,543.0
514.0,543.0
510.0,523.0
510.0,523.0
503.0,501.0
506.0,455.0
515.0,424.0
515.0,424.0
515.0,424.0
516.0,400.0
516.0,400.0
516.0,378.0
510.0,340.0
507.0,327.0
507.0,327.0
507.0,317.0
508.0,311.0
509.0,311.0
509.0,311.0
509.0,315.0
509.0,320.0
509.0,320.0
510.0,327.0
512.0,339.0
514.0,351.0
514.0,351.0
517.0,363.0
517.0,363.0
516.0,378.0
516.0,393.0
513.0,406.0
510.0,417.0
510.0,417.0
499.0,425.0
499.0,425.0
486.0,432.0
486.0,432.0
472.0,438.0
462.0,438.0
452.0,436.0
441.0,432.0
441.0,432.0
433.0,428.0
433.0,428.0
425.0,420.0
417.0,403.0
417.0,403.0
416.0,388.0
416.0,388.0
416.0,374.0
416.0,374.0
427.0,347.0
436.0,333.0
447.0,320.0
447.0,320.0
447.0,320.0
481.0,306.0
494.0,303.0
494.0,303.0
507.0,307.0
507.0,307.0
529.0,317.0
542.0,327.0
561.0,347.0
573.0,363.0
573.0,363.0
581.0,378.0
581.0,378.0
583.0,400.0
582.0,400.0
582.0,400.0
583.0,395.0
583.0,395.0
582.0,381.0
582.0,381.0
583.0,346.0
581.0,331.0
581.0,331.0
585.0,316.0
585.0,316.0
591.0,303.0
591.0,303.0
616.0,303.0
628.0,312.0
628.0,312.0
641.0,325.0
641.0,325.0
648.0,344.0
648.0,344.0
654.0,382.0
656.0,394.0
656.0,394.0
657.0,399.0
657.0,399.0
659.0,397.0
659.0,397.0
664.0,374.0
662.0,352.0
662.0,352.0
660.0,338.0
660.0,338.0
662.0,324.0
662.0,324.0
678.0,303.0
690.0,304.0
690.0,304.0
705.0,299.0
705.0,299.0
725.0,299.0
725.0,299.0
761.0,322.0
778.0,341.0
778.0,341.0
801.0,357.0
801.0,357.0
815.0,376.0
815.0,376.0
808.0,412.0
794.0,423.0
794.0,423.0
780.0,423.0
780.0,423.0
749.0,400.0
739.0,385.0
739.0,385.0
732.0,369.0
732.0,369.0
728.0,356.0
728.0,356.0
734.0,314.0
746.0,298.0
746.0,298.0
766.0,291.0
766.0,291.0
781.0,291.0
781.0,291.0
793.0,304.0
795.0,316.0
795.0,316.0
802.0,334.0
802.0,334.0
804.0,347.0
804.0,347.0
814.0,372.0
814.0,383.0
814.0,383.0
813.0,386.0
813.0,386.0
816.0,385.0
816.0,385.0
811.0,363.0
807.0,346.0
807.0,346.0
809.0,325.0
809.0,325.0
823.0,293.0
837.0,291.0
837.0,291.0
852.0,302.0
852.0,302.0
865.0,332.0
870.0,365.0
870.0,365.0
872.0,392.0
872.0,392.0
860.0,443.0
845.0,463.0
845.0,463.0
825.0,474.0
825.0,474.0
781.0,477.0
755.0,475.0
755.0,475.0
730.0,469.0
730.0,469.0
697.0,466.0
690.0,466.0
690.0,466.0
683.0,465.0
683.0,465.0
680.0,467.0
680.0,467.0
686.0,478.0
693.0,488.0
693.0,488.0
700.0,490.0
700.0,490.0
710.0,473.0
705.0,457.0
705.0,457.0
694.0,442.0
694.0,442.0
687.0,426.0
687.0,426.0
669.0,397.0
661.0,390.0
661.0,390.0
658.0,384.0
658.0,384.0
661.0,384.0
661.0,384.0
678.0,392.0
687.0,400.0
687.0,400.0
696.0,413.0
696.0,413.0
709.0,428.0
709.0,428.0
726.0,458.0
734.0,477.0
734.0,477.0
738.0,500.0
738.0,500.0
729.0,544.0
715.0,564.0
715.0,564.0
701.0,581.0
701.0,581.0
688.0,593.0
688.0,593.0
675.0,597.0
680.0,597.0
680.0,597.0
695.0,595.0
695.0,595.0
714.0,593.0
714.0,593.0
769.0,592.0
796.0,589.0
796.0,589.0
813.0,586.0
