x,y
430.0,349.0
436.0,350.0
453.0,355.0
463.0,360.0
475.0,368.0
519.0,400.0
519.0,400.0
526.0,408.0
527.0,417.0
506.0,422.0
498.0,415.0
488.0,408.0
482.0,398.0
475.0,387.0
471.0,355.0
475.0,344.0
481.0,337.0
502.0,330.0
515.0,337.0
530.0,343.0
542.0,354.0
556.0,365.0
592.0,395.0
598.0,401.0
609.0,404.0
615.0,405.0
625.0,399.0
626.0,362.0
624.0,352.0
624.0,340.0
624.0,334.0
625.0,331.0
625.0,331.0
627.0,332.0
644.0,371.0
652.0,382.0
659.0,390.0
664.0,395.0
672.0,397.0
689.0,389.0
690.0,373.0
689.0,363.0
689.0,354.0
688.0,346.0
689.0,338.0
695.0,355.0
699.0,367.0
701.0,376.0
705.0,385.0
705.0,385.0
713.0,402.0
735.0,405.0
740.0,399.0
744.0,393.0
745.0,385.0
746.0,374.0
746.0,367.0
746.0,356.0
753.0,329.0
756.0,326.0
760.0,325.0
761.0,326.0
