x,y
569.0,346.0
569.0,346.0
565.0,353.0
548.0,372.0
529.0,374.0
529.0,374.0
521.0,366.0
521.0,366.0
514.0,357.0
519.0,326.0
524.0,316.0
524.0,316.0
534.0,311.0
534.0,311.0
559.0,329.0
568.0,349.0
568.0,349.0
570.0,360.0
569.0,362.0
569.0,362.0
568.0,340.0
566.0,314.0
566.0,314.0
565.0,293.0
563.0,261.0
563.0,261.0
562.0,210.0
556.0,188.0
545.0,181.0
545.0,181.0
536.0,180.0
536.0,180.0
537.0,196.0
537.0,196.0
546.0,220.0
577.0,280.0
592.0,306.0
592.0,306.0
627.0,360.0
642.0,390.0
657.0,418.0
657.0,418.0
667.0,436.0
667.0,436.0
669.0,463.0
661.0,465.0
661.0,465.0
653.0,459.0
653.0,459.0
642.0,444.0
635.0,407.0
635.0,380.0
635.0,380.0
634.0,353.0
633.0,325.0
633.0,325.0
626.0,305.0
623.0,308.0
619.0,319.0
619.0,319.0
621.0,335.0
621.0,335.0
644.0,365.0
658.0,368.0
658.0,368.0
668.0,362.0
675.0,345.0
675.0,345.0
682.0,317.0
693.0,309.0
693.0,309.0
711.0,309.0
711.0,309.0
728.0,318.0
755.0,349.0
755.0,358.0
755.0,358.0
749.0,363.0
749.0,363.0
739.0,359.0
728.0,345.0
728.0,345.0
727.0,306.0
739.0,289.0
757.0,287.0
757.0,287.0
777.0,295.0
777.0,295.0
793.0,312.0
812.0,361.0
814.0,377.0
814.0,377.0
816.0,385.0
816.0,385.0
810.0,371.0
810.0,352.0
810.0,352.0
810.0,332.0
811.0,315.0
811.0,315.0
812.0,299.0
820.0,301.0
820.0,301.0
825.0,309.0
830.0,322.0
830.0,322.0
826.0,339.0
814.0,342.0
801.0,343.0
801.0,343.0
787.0,346.0
787.0,346.0
774.0,355.0
782.0,359.0
795.0,359.0
795.0,359.0
812.0,358.0
812.0,358.0
839.0,361.0
837.0,365.0
837.0,365.0
820.0,366.0
797.0,373.0
797.0,373.0
758.0,387.0
753.0,393.0
753.0,393.0
757.0,400.0
757.0,400.0
773.0,409.0
806.0,423.0
808.0,425.0
808.0,425.0
803.0,419.0
803.0,419.0
