x,y
707.0,440.0
703.0,444.0
703.0,444.0
687.0,453.0
674.0,450.0
674.0,450.0
662.0,444.0
652.0,433.0
652.0,433.0
645.0,424.0
645.0,424.0
642.0,391.0
645.0,380.0
645.0,380.0
653.0,376.0
666.0,377.0
666.0,377.0
694.0,388.0
700.0,402.0
705.0,415.0
705.0,415.0
706.0,424.0
706.0,424.0
702.0,429.0
699.0,419.0
701.0,409.0
701.0,409.0
707.0,396.0
707.0,396.0
707.0,351.0
702.0,319.0
697.0,299.0
697.0,299.0
690.0,284.0
690.0,284.0
686.0,287.0
686.0,287.0
689.0,311.0
697.0,333.0
711.0,359.0
711.0,359.0
727.0,390.0
727.0,390.0
752.0,425.0
757.0,437.0
754.0,434.0
754.0,434.0
749.0,425.0
749.0,425.0
742.0,413.0
746.0,379.0
756.0,369.0
756.0,369.0
772.0,371.0
772.0,371.0
792.0,382.0
792.0,382.0
817.0,396.0
848.0,425.0
848.0,433.0
848.0,433.0
839.0,435.0
839.0,435.0
822.0,430.0
800.0,408.0
797.0,394.0
797.0,394.0
799.0,376.0
799.0,376.0
809.0,368.0
809.0,368.0
820.0,362.0
842.0,368.0
850.0,381.0
850.0,381.0
853.0,399.0
849.0,412.0
849.0,412.0
832.0,439.0
819.0,448.0
819.0,448.0
802.0,454.0
792.0,459.0
792.0,459.0
783.0,466.0
787.0,469.0
787.0,469.0
798.0,478.0
798.0,478.0
812.0,489.0
836.0,509.0
