x,y
678.0,485.0
685.0,501.0
680.0,512.0
680.0,512.0
667.0,519.0
667.0,519.0
649.0,518.0
649.0,518.0
609.0,504.0
601.0,489.0
601.0,489.0
598.0,471.0
598.0,471.0
605.0,451.0
605.0,451.0
639.0,422.0
656.0,423.0
656.0,423.0
670.0,438.0
670.0,438.0
676.0,454.0
676.0,454.0
678.0,489.0
675.0,503.0
675.0,503.0
672.0,509.0
672.0,509.0
671.0,507.0
671.0,507.0
672.0,469.0
680.0,442.0
680.0,442.0
685.0,417.0
685.0,417.0
689.0,368.0
685.0,353.0
685.0,353.0
677.0,347.0
677.0,347.0
651.0,364.0
643.0,374.0
643.0,374.0
645.0,394.0
645.0,394.0
655.0,412.0
655.0,412.0
698.0,436.0
722.0,444.0
722.0,444.0
743.0,459.0
743.0,459.0
759.0,476.0
759.0,476.0
768.0,508.0
758.0,516.0
758.0,516.0
742.0,519.0
742.0,519.0
724.0,516.0
724.0,516.0
705.0,493.0
706.0,475.0
706.0,475.0
715.0,456.0
715.0,456.0
722.0,446.0
722.0,446.0
749.0,440.0
758.0,451.0
758.0,451.0
762.0,465.0
762.0,465.0
762.0,480.0
762.0,480.0
763.0,508.0
764.0,511.0
764.0,511.0
761.0,509.0
761.0,509.0
763.0,470.0
767.0,451.0
767.0,451.0
775.0,439.0
775.0,439.0
801.0,453.0
804.0,474.0
804.0,474.0
803.0,495.0
803.0,495.0
803.0,495.0
795.0,519.0
771.0,558.0
751.0,572.0
751.0,572.0
735.0,584.0
721.0,592.0
714.0,596.0
713.0,598.0
713.0,598.0
719.0,596.0
719.0,596.0
757.0,577.0
757.0,577.0
778.0,565.0
778.0,565.0
800.0,557.0
819.0,551.0
819.0,551.0
