x,y
748.0,488.0
748.0,488.0
769.0,507.0
787.0,518.0
803.0,529.0
803.0,529.0
825.0,576.0
832.0,596.0
832.0,596.0
832.0,611.0
826.0,580.0
826.0,580.0
803.0,580.0
798.0,553.0
798.0,553.0
795.0,528.0
795.0,528.0
795.0,496.0
788.0,447.0
790.0,439.0
790.0,439.0
792.0,458.0
796.0,471.0
804.0,482.0
804.0,482.0
822.0,497.0
831.0,502.0
837.0,496.0
837.0,496.0
837.0,485.0
837.0,485.0
833.0,467.0
833.0,467.0
837.0,457.0
856.0,450.0
889.0,469.0
889.0,469.0
909.0,491.0
903.0,500.0
895.0,501.0
895.0,501.0
883.0,490.0
883.0,490.0
874.0,453.0
887.0,451.0
906.0,468.0
906.0,468.0
909.0,482.0
909.0,482.0
909.0,489.0
908.0,477.0
910.0,462.0
910.0,462.0
909.0,456.0
917.0,454.0
917.0,454.0
937.0,466.0
942.0,483.0
942.0,483.0
943.0,495.0
943.0,495.0
943.0,500.0
937.0,475.0
939.0,465.0
939.0,465.0
942.0,456.0
942.0,456.0
945.0,449.0
945.0,449.0
973.0,494.0
973.0,494.0
976.0,488.0
965.0,462.0
963.0,412.0
964.0,397.0
964.0,397.0
957.0,368.0
957.0,368.0
940.0,352.0
937.0,356.0
932.0,368.0
932.0,368.0
935.0,383.0
935.0,383.0
1017.0,466.0
1017.0,466.0
1030.0,476.0
