x,y
686.0,551.0
685.0,557.0
684.0,566.0
684.0,566.0
679.0,561.0
681.0,552.0
681.0,552.0
677.0,542.0
677.0,542.0
677.0,519.0
671.0,478.0
667.0,452.0
667.0,452.0
663.0,433.0
663.0,433.0
661.0,403.0
651.0,360.0
648.0,351.0
648.0,351.0
647.0,341.0
646.0,338.0
646.0,346.0
646.0,346.0
655.0,352.0
655.0,352.0
656.0,371.0
672.0,402.0
705.0,416.0
705.0,416.0
724.0,420.0
729.0,409.0
730.0,393.0
730.0,393.0
729.0,376.0
729.0,376.0
724.0,358.0
722.0,339.0
729.0,334.0
729.0,334.0
738.0,335.0
738.0,335.0
750.0,340.0
750.0,340.0
764.0,349.0
791.0,369.0
803.0,376.0
803.0,376.0
814.0,382.0
822.0,394.0
822.0,394.0
829.0,409.0
828.0,414.0
828.0,414.0
816.0,413.0
816.0,413.0
801.0,410.0
779.0,399.0
775.0,390.0
775.0,390.0
774.0,379.0
774.0,379.0
776.0,363.0
785.0,327.0
798.0,320.0
798.0,320.0
814.0,322.0
814.0,322.0
831.0,331.0
850.0,364.0
851.0,384.0
851.0,384.0
849.0,398.0
845.0,412.0
845.0,412.0
838.0,418.0
838.0,418.0
827.0,416.0
829.0,410.0
829.0,410.0
837.0,405.0
837.0,405.0
849.0,396.0
884.0,387.0
902.0,385.0
902.0,385.0
917.0,385.0
917.0,385.0
936.0,385.0
936.0,385.0
945.0,389.0
950.0,393.0
945.0,393.0
945.0,393.0
939.0,393.0
928.0,390.0
928.0,390.0
905.0,385.0
891.0,379.0
880.0,371.0
880.0,371.0
873.0,356.0
873.0,356.0
869.0,323.0
876.0,310.0
876.0,310.0
886.0,305.0
896.0,307.0
896.0,307.0
918.0,330.0
926.0,344.0
926.0,344.0
932.0,356.0
932.0,356.0
938.0,371.0
944.0,387.0
943.0,384.0
943.0,384.0
940.0,377.0
940.0,377.0
940.0,364.0
943.0,333.0
944.0,319.0
944.0,319.0
950.0,308.0
960.0,303.0
960.0,303.0
983.0,304.0
995.0,309.0
995.0,309.0
1002.0,312.0
1005.0,314.0
