x,y
919.0,668.0
922.0,673.0
917.0,667.0
917.0,667.0
918.0,655.0
918.0,655.0
915.0,642.0
918.0,600.0
911.0,576.0
911.0,576.0
907.0,554.0
907.0,554.0
905.0,525.0
902.0,526.0
902.0,526.0
903.0,534.0
902.0,544.0
902.0,544.0
918.0,573.0
934.0,581.0
944.0,587.0
944.0,587.0
954.0,587.0
954.0,587.0
957.0,549.0
961.0,539.0
961.0,539.0
968.0,531.0
968.0,531.0
981.0,530.0
1006.0,536.0
1020.0,553.0
1020.0,553.0
1030.0,566.0
1030.0,566.0
1023.0,585.0
1015.0,584.0
1015.0,584.0
998.0,580.0
987.0,566.0
987.0,566.0
987.0,543.0
995.0,535.0
995.0,535.0
1006.0,529.0
1020.0,535.0
1020.0,535.0
1022.0,550.0
1022.0,550.0
1024.0,573.0
1023.0,552.0
1023.0,552.0
1030.0,541.0
1038.0,534.0
1038.0,534.0
1050.0,534.0
1060.0,550.0
1060.0,550.0
1066.0,568.0
1066.0,568.0
1069.0,581.0
1073.0,615.0
1071.0,618.0
1071.0,618.0
1070.0,616.0
1070.0,616.0
1071.0,586.0
1065.0,564.0
1067.0,537.0
1067.0,537.0
1073.0,517.0
1073.0,517.0
1070.0,509.0
1071.0,532.0
1062.0,546.0
1062.0,546.0
1054.0,564.0
1054.0,564.0
1044.0,575.0
1040.0,579.0
1040.0,579.0
1049.0,579.0
1063.0,580.0
1063.0,580.0
1080.0,579.0
1080.0,579.0
1089.0,581.0
1102.0,587.0
1089.0,596.0
1089.0,596.0
1070.0,601.0
1070.0,601.0
1051.0,602.0
1009.0,605.0
999.0,606.0
999.0,606.0
1003.0,614.0
1003.0,614.0
1013.0,623.0
1013.0,623.0
1048.0,651.0
1054.0,652.0
