x,y
863.0,538.0
865.0,528.0
865.0,517.0
865.0,502.0
863.0,488.0
863.0,420.0
862.0,404.0
861.0,392.0
858.0,383.0
860.0,377.0
859.0,395.0
863.0,400.0
864.0,411.0
868.0,420.0
871.0,430.0
876.0,435.0
902.0,436.0
903.0,430.0
903.0,422.0
903.0,414.0
904.0,404.0
921.0,387.0
928.0,391.0
937.0,393.0
946.0,399.0
957.0,408.0
980.0,435.0
979.0,438.0
977.0,442.0
971.0,443.0
966.0,442.0
959.0,436.0
952.0,431.0
953.0,397.0
957.0,392.0
960.0,388.0
966.0,389.0
984.0,410.0
985.0,416.0
986.0,430.0
982.0,437.0
978.0,441.0
970.0,433.0
974.0,429.0
978.0,426.0
983.0,424.0
989.0,426.0
1010.0,443.0
1008.0,448.0
1009.0,451.0
1011.0,450.0
1004.0,434.0
1006.0,427.0
1007.0,417.0
1008.0,406.0
1008.0,399.0
1010.0,391.0
1006.0,382.0
1006.0,385.0
1005.0,392.0
1001.0,399.0
999.0,408.0
982.0,449.0
980.0,457.0
979.0,465.0
977.0,473.0
980.0,478.0
981.0,481.0
982.0,481.0
990.0,466.0
990.0,461.0
982.0,453.0
979.0,446.0
975.0,440.0
954.0,437.0
