x,y
774.0,541.0
777.0,527.0
779.0,515.0
783.0,481.0
783.0,454.0
785.0,435.0
784.0,415.0
785.0,402.0
785.0,399.0
785.0,399.0
784.0,413.0
785.0,423.0
790.0,446.0
812.0,458.0
815.0,456.0
815.0,453.0
813.0,441.0
811.0,416.0
807.0,404.0
810.0,402.0
813.0,402.0
820.0,400.0
826.0,400.0
837.0,404.0
845.0,406.0
868.0,421.0
874.0,427.0
880.0,440.0
880.0,448.0
857.0,455.0
850.0,448.0
845.0,441.0
839.0,429.0
840.0,418.0
841.0,410.0
861.0,398.0
869.0,403.0
875.0,413.0
880.0,422.0
882.0,434.0
887.0,445.0
884.0,436.0
888.0,423.0
888.0,406.0
890.0,401.0
895.0,397.0
915.0,417.0
913.0,432.0
913.0,450.0
908.0,465.0
902.0,479.0
896.0,492.0
875.0,532.0
876.0,537.0
877.0,542.0
878.0,542.0
882.0,542.0
885.0,539.0
890.0,517.0
887.0,511.0
884.0,505.0
877.0,497.0
874.0,494.0
871.0,490.0
861.0,486.0
