x,y
704.0,433.0
734.0,456.0
745.0,471.0
757.0,485.0
793.0,534.0
799.0,554.0
802.0,570.0
802.0,587.0
801.0,596.0
791.0,605.0
785.0,605.0
764.0,555.0
763.0,537.0
758.0,516.0
755.0,492.0
751.0,464.0
748.0,440.0
737.0,414.0
740.0,419.0
741.0,437.0
741.0,437.0
745.0,447.0
771.0,476.0
781.0,465.0
780.0,454.0
780.0,444.0
781.0,434.0
790.0,415.0
796.0,414.0
803.0,413.0
810.0,418.0
829.0,427.0
839.0,435.0
849.0,440.0
851.0,449.0
847.0,472.0
842.0,481.0
834.0,482.0
823.0,478.0
817.0,473.0
803.0,450.0
820.0,423.0
831.0,426.0
837.0,427.0
841.0,435.0
855.0,466.0
850.0,468.0
849.0,465.0
847.0,457.0
847.0,447.0
850.0,432.0
853.0,420.0
874.0,423.0
882.0,431.0
886.0,440.0
894.0,465.0
900.0,472.0
899.0,463.0
898.0,448.0
896.0,432.0
891.0,417.0
898.0,434.0
899.0,448.0
901.0,458.0
905.0,470.0
913.0,472.0
920.0,477.0
926.0,476.0
933.0,463.0
933.0,455.0
933.0,434.0
935.0,427.0
937.0,419.0
960.0,410.0
964.0,414.0
970.0,419.0
969.0,423.0
970.0,425.0
970.0,425.0
926.0,454.0
906.0,465.0
893.0,473.0
835.0,510.0
824.0,520.0
817.0,526.0
809.0,530.0
815.0,532.0
821.0,526.0
830.0,523.0
837.0,517.0
848.0,514.0
891.0,530.0
896.0,534.0
898.0,539.0
899.0,539.0
884.0,543.0
880.0,546.0
874.0,550.0
869.0,552.0
866.0,558.0
861.0,565.0
856.0,571.0
844.0,605.0
846.0,611.0
852.0,618.0
856.0,621.0
863.0,624.0
868.0,620.0
874.0,589.0
873.0,580.0
868.0,570.0
862.0,564.0
859.0,555.0
854.0,549.0
848.0,541.0
850.0,542.0
