x,y
407.0,487.0
412.0,491.0
412.0,491.0
421.0,497.0
437.0,516.0
437.0,516.0
437.0,516.0
451.0,547.0
451.0,547.0
474.0,589.0
490.0,628.0
490.0,628.0
489.0,659.0
479.0,677.0
479.0,677.0
467.0,676.0
456.0,658.0
456.0,658.0
455.0,630.0
456.0,595.0
456.0,595.0
455.0,554.0
453.0,511.0
453.0,511.0
453.0,511.0
452.0,469.0
452.0,469.0
451.0,437.0
451.0,430.0
451.0,430.0
454.0,440.0
462.0,460.0
462.0,460.0
462.0,460.0
473.0,481.0
473.0,481.0
486.0,504.0
502.0,518.0
502.0,518.0
515.0,504.0
524.0,473.0
524.0,473.0
524.0,473.0
529.0,438.0
529.0,438.0
542.0,416.0
577.0,418.0
577.0,418.0
610.0,432.0
610.0,432.0
639.0,447.0
639.0,447.0
654.0,471.0
654.0,471.0
649.0,493.0
631.0,511.0
631.0,511.0
631.0,511.0
631.0,511.0
608.0,514.0
587.0,496.0
577.0,473.0
577.0,473.0
577.0,446.0
577.0,446.0
592.0,416.0
592.0,416.0
624.0,410.0
624.0,410.0
624.0,410.0
645.0,428.0
645.0,428.0
652.0,456.0
652.0,456.0
650.0,484.0
650.0,484.0
637.0,505.0
637.0,505.0
623.0,512.0
620.0,503.0
620.0,503.0
620.0,503.0
620.0,503.0
635.0,494.0
670.0,492.0
700.0,502.0
700.0,502.0
700.0,502.0
709.0,509.0
708.0,501.0
708.0,501.0
708.0,483.0
708.0,483.0
709.0,464.0
709.0,464.0
715.0,436.0
715.0,436.0
715.0,436.0
720.0,414.0
720.0,414.0
718.0,410.0
718.0,410.0
714.0,425.0
714.0,425.0
717.0,448.0
717.0,448.0
717.0,448.0
726.0,475.0
737.0,498.0
752.0,512.0
752.0,512.0
752.0,512.0
768.0,502.0
776.0,474.0
776.0,474.0
785.0,435.0
785.0,435.0
785.0,435.0
796.0,408.0
820.0,396.0
820.0,396.0
820.0,396.0
836.0,420.0
855.0,440.0
874.0,467.0
874.0,467.0
881.0,493.0
881.0,493.0
870.0,516.0
870.0,516.0
844.0,526.0
844.0,526.0
844.0,526.0
821.0,523.0
802.0,510.0
802.0,510.0
802.0,510.0
796.0,483.0
803.0,454.0
803.0,454.0
826.0,418.0
826.0,418.0
854.0,402.0
870.0,408.0
870.0,408.0
878.0,435.0
885.0,465.0
885.0,465.0
886.0,488.0
888.0,506.0
888.0,506.0
885.0,503.0
884.0,480.0
884.0,480.0
884.0,480.0
891.0,443.0
896.0,394.0
896.0,349.0
896.0,349.0
896.0,314.0
896.0,314.0
884.0,288.0
884.0,288.0
884.0,288.0
858.0,277.0
858.0,277.0
827.0,302.0
821.0,334.0
821.0,334.0
838.0,373.0
861.0,403.0
861.0,403.0
889.0,429.0
889.0,429.0
918.0,452.0
918.0,452.0
923.0,477.0
923.0,477.0
894.0,508.0
836.0,542.0
836.0,542.0
785.0,555.0
731.0,558.0
731.0,558.0
675.0,557.0
628.0,555.0
628.0,555.0
591.0,553.0
577.0,559.0
577.0,559.0
577.0,559.0
574.0,563.0
574.0,563.0
575.0,563.0
587.0,567.0
587.0,567.0
606.0,581.0
625.0,598.0
625.0,598.0
635.0,603.0
642.0,595.0
642.0,595.0
653.0,577.0
666.0,568.0
666.0,568.0
670.0,568.0
663.0,584.0
663.0,584.0
654.0,604.0
643.0,632.0
643.0,632.0
643.0,632.0
631.0,652.0
631.0,652.0
621.0,673.0
612.0,680.0
612.0,680.0
612.0,680.0
613.0,678.0
613.0,678.0
630.0,668.0
651.0,657.0
651.0,657.0
684.0,644.0
714.0,632.0
714.0,632.0
