x,y
747.0,454.0
752.0,460.0
759.0,465.0
766.0,475.0
773.0,484.0
809.0,549.0
823.0,585.0
823.0,585.0
824.0,599.0
826.0,611.0
812.0,610.0
807.0,599.0
803.0,585.0
802.0,568.0
798.0,545.0
787.0,441.0
785.0,412.0
784.0,399.0
782.0,394.0
784.0,393.0
785.0,408.0
785.0,424.0
789.0,441.0
831.0,468.0
831.0,468.0
829.0,462.0
823.0,414.0
828.0,407.0
838.0,404.0
853.0,408.0
880.0,420.0
893.0,425.0
903.0,436.0
910.0,461.0
904.0,466.0
893.0,469.0
883.0,463.0
871.0,454.0
861.0,444.0
873.0,393.0
883.0,393.0
895.0,394.0
914.0,430.0
912.0,441.0
898.0,454.0
891.0,452.0
890.0,449.0
889.0,442.0
908.0,435.0
916.0,434.0
926.0,442.0
933.0,449.0
938.0,455.0
941.0,464.0
940.0,463.0
937.0,455.0
935.0,418.0
938.0,397.0
934.0,377.0
934.0,307.0
931.0,321.0
931.0,333.0
930.0,349.0
930.0,349.0
946.0,418.0
953.0,434.0
964.0,454.0
972.0,462.0
979.0,463.0
984.0,460.0
986.0,453.0
985.0,424.0
986.0,416.0
988.0,406.0
992.0,397.0
1003.0,394.0
1015.0,395.0
1026.0,399.0
1036.0,400.0
1042.0,409.0
1034.0,419.0
1023.0,422.0
1008.0,428.0
991.0,433.0
917.0,463.0
902.0,467.0
893.0,472.0
880.0,472.0
872.0,474.0
859.0,483.0
863.0,492.0
867.0,495.0
873.0,504.0
881.0,514.0
885.0,522.0
891.0,525.0
912.0,518.0
921.0,510.0
929.0,503.0
939.0,499.0
935.0,499.0
935.0,498.0
925.0,489.0
898.0,427.0
896.0,406.0
891.0,394.0
891.0,394.0
884.0,381.0
882.0,367.0
878.0,371.0
876.0,373.0
874.0,374.0
