x,y
727.0,438.0
729.0,442.0
755.0,463.0
767.0,478.0
781.0,495.0
794.0,515.0
815.0,591.0
815.0,596.0
812.0,598.0
806.0,591.0
800.0,579.0
786.0,497.0
780.0,473.0
778.0,445.0
777.0,417.0
774.0,398.0
774.0,387.0
789.0,403.0
796.0,416.0
805.0,436.0
811.0,446.0
823.0,457.0
849.0,460.0
842.0,449.0
838.0,441.0
830.0,433.0
820.0,436.0
822.0,435.0
823.0,432.0
827.0,429.0
826.0,422.0
828.0,416.0
850.0,415.0
857.0,421.0
864.0,433.0
872.0,446.0
879.0,463.0
906.0,546.0
910.0,563.0
910.0,580.0
909.0,588.0
908.0,593.0
893.0,553.0
887.0,532.0
881.0,511.0
876.0,490.0
871.0,426.0
871.0,417.0
870.0,413.0
873.0,421.0
876.0,428.0
881.0,437.0
887.0,445.0
913.0,468.0
914.0,463.0
910.0,453.0
909.0,444.0
911.0,430.0
912.0,411.0
926.0,402.0
930.0,409.0
940.0,420.0
945.0,428.0
950.0,441.0
954.0,450.0
964.0,469.0
963.0,466.0
963.0,462.0
963.0,454.0
960.0,440.0
958.0,431.0
964.0,388.0
963.0,385.0
964.0,387.0
962.0,390.0
