x,y
566.0,525.0
564.0,519.0
563.0,514.0
565.0,500.0
565.0,500.0
565.0,481.0
565.0,481.0
567.0,422.0
569.0,389.0
569.0,356.0
569.0,356.0
569.0,328.0
569.0,328.0
562.0,306.0
563.0,290.0
563.0,294.0
563.0,294.0
565.0,306.0
565.0,306.0
571.0,322.0
595.0,350.0
609.0,366.0
609.0,366.0
625.0,373.0
625.0,373.0
633.0,379.0
633.0,379.0
631.0,377.0
603.0,358.0
591.0,349.0
591.0,349.0
581.0,343.0
581.0,343.0
579.0,328.0
585.0,318.0
592.0,305.0
592.0,305.0
602.0,292.0
602.0,292.0
612.0,286.0
627.0,292.0
628.0,301.0
628.0,301.0
631.0,312.0
631.0,312.0
643.0,326.0
655.0,355.0
655.0,355.0
677.0,425.0
682.0,461.0
682.0,461.0
686.0,494.0
686.0,494.0
684.0,515.0
677.0,527.0
670.0,515.0
670.0,515.0
661.0,497.0
661.0,497.0
654.0,471.0
651.0,389.0
646.0,355.0
646.0,355.0
639.0,325.0
639.0,325.0
634.0,303.0
634.0,303.0
635.0,291.0
632.0,304.0
635.0,316.0
635.0,316.0
641.0,330.0
652.0,344.0
652.0,344.0
673.0,353.0
678.0,345.0
678.0,345.0
680.0,328.0
678.0,307.0
678.0,307.0
678.0,275.0
686.0,272.0
686.0,272.0
701.0,281.0
701.0,281.0
714.0,299.0
751.0,338.0
770.0,351.0
770.0,351.0
783.0,356.0
783.0,356.0
787.0,358.0
780.0,353.0
780.0,353.0
746.0,338.0
734.0,327.0
727.0,313.0
727.0,313.0
727.0,296.0
727.0,296.0
740.0,275.0
751.0,272.0
763.0,280.0
763.0,280.0
770.0,292.0
770.0,292.0
780.0,325.0
779.0,346.0
779.0,346.0
771.0,359.0
771.0,359.0
761.0,369.0
748.0,374.0
748.0,374.0
727.0,377.0
726.0,374.0
726.0,374.0
730.0,378.0
743.0,387.0
743.0,387.0
782.0,414.0
801.0,428.0
815.0,440.0
815.0,440.0
825.0,445.0
825.0,445.0
830.0,450.0
830.0,450.0
830.0,450.0
