x,y
792.0,513.0
791.0,506.0
790.0,498.0
788.0,486.0
786.0,472.0
770.0,384.0
768.0,366.0
767.0,353.0
770.0,352.0
775.0,360.0
771.0,370.0
774.0,377.0
808.0,405.0
814.0,412.0
823.0,417.0
827.0,419.0
825.0,422.0
806.0,409.0
797.0,402.0
790.0,401.0
784.0,382.0
786.0,382.0
790.0,383.0
794.0,381.0
798.0,376.0
815.0,362.0
819.0,365.0
824.0,369.0
828.0,372.0
831.0,381.0
859.0,440.0
867.0,457.0
878.0,474.0
897.0,527.0
894.0,532.0
895.0,535.0
892.0,525.0
883.0,497.0
876.0,483.0
868.0,470.0
867.0,457.0
849.0,400.0
845.0,388.0
842.0,384.0
844.0,387.0
847.0,392.0
863.0,416.0
867.0,421.0
874.0,427.0
879.0,432.0
885.0,432.0
884.0,413.0
881.0,408.0
878.0,392.0
880.0,388.0
887.0,387.0
891.0,384.0
904.0,381.0
912.0,384.0
951.0,404.0
951.0,404.0
958.0,409.0
958.0,416.0
959.0,420.0
939.0,417.0
935.0,413.0
934.0,408.0
926.0,389.0
927.0,385.0
930.0,377.0
934.0,377.0
962.0,385.0
962.0,390.0
963.0,397.0
958.0,417.0
956.0,426.0
950.0,431.0
944.0,434.0
917.0,433.0
913.0,430.0
917.0,440.0
919.0,446.0
924.0,455.0
934.0,468.0
943.0,480.0
972.0,482.0
978.0,474.0
981.0,466.0
995.0,444.0
1003.0,436.0
1006.0,434.0
1007.0,436.0
