x,y
657.0,594.0
656.0,582.0
655.0,567.0
656.0,551.0
655.0,534.0
658.0,509.0
663.0,420.0
664.0,406.0
661.0,401.0
668.0,428.0
677.0,435.0
682.0,447.0
689.0,457.0
694.0,463.0
697.0,466.0
689.0,457.0
681.0,447.0
678.0,442.0
686.0,423.0
692.0,421.0
700.0,418.0
708.0,414.0
717.0,410.0
739.0,461.0
749.0,488.0
757.0,517.0
770.0,606.0
767.0,611.0
763.0,609.0
761.0,600.0
756.0,582.0
753.0,487.0
752.0,465.0
755.0,444.0
756.0,430.0
758.0,421.0
757.0,416.0
759.0,416.0
764.0,447.0
770.0,458.0
774.0,466.0
780.0,469.0
792.0,451.0
789.0,441.0
790.0,434.0
795.0,423.0
816.0,420.0
826.0,426.0
838.0,432.0
852.0,443.0
857.0,485.0
847.0,485.0
841.0,484.0
834.0,479.0
828.0,472.0
829.0,420.0
834.0,413.0
846.0,412.0
855.0,416.0
866.0,423.0
873.0,437.0
857.0,477.0
852.0,477.0
848.0,474.0
849.0,472.0
876.0,469.0
885.0,473.0
890.0,480.0
893.0,484.0
893.0,486.0
889.0,465.0
890.0,455.0
890.0,438.0
892.0,426.0
894.0,420.0
893.0,414.0
899.0,446.0
901.0,456.0
905.0,465.0
915.0,475.0
923.0,476.0
935.0,465.0
934.0,452.0
933.0,442.0
930.0,434.0
931.0,427.0
958.0,429.0
966.0,431.0
975.0,435.0
1004.0,469.0
1004.0,477.0
999.0,483.0
992.0,485.0
967.0,463.0
963.0,454.0
962.0,442.0
966.0,429.0
968.0,425.0
975.0,418.0
996.0,433.0
1001.0,440.0
1002.0,448.0
1004.0,459.0
1006.0,463.0
1004.0,455.0
1004.0,446.0
1003.0,428.0
1006.0,417.0
998.0,358.0
995.0,347.0
990.0,335.0
970.0,342.0
970.0,349.0
978.0,362.0
986.0,374.0
993.0,389.0
1004.0,404.0
1042.0,447.0
1046.0,453.0
1044.0,458.0
999.0,472.0
979.0,479.0
960.0,483.0
943.0,488.0
922.0,490.0
848.0,505.0
834.0,509.0
825.0,510.0
819.0,514.0
818.0,516.0
822.0,521.0
852.0,551.0
860.0,556.0
868.0,558.0
876.0,557.0
909.0,526.0
917.0,522.0
920.0,521.0
