x,y
528.0,587.0
530.0,587.0
533.0,580.0
533.0,570.0
531.0,562.0
526.0,548.0
524.0,533.0
517.0,517.0
515.0,501.0
512.0,479.0
499.0,394.0
499.0,373.0
495.0,352.0
497.0,332.0
495.0,315.0
492.0,302.0
493.0,291.0
486.0,269.0
487.0,274.0
489.0,281.0
487.0,291.0
491.0,304.0
493.0,319.0
518.0,389.0
532.0,404.0
544.0,420.0
559.0,431.0
573.0,442.0
584.0,448.0
598.0,451.0
606.0,452.0
633.0,442.0
636.0,439.0
638.0,435.0
638.0,427.0
638.0,427.0
636.0,422.0
611.0,411.0
606.0,409.0
600.0,409.0
595.0,410.0
592.0,411.0
592.0,410.0
596.0,405.0
609.0,379.0
608.0,372.0
614.0,360.0
617.0,349.0
623.0,342.0
631.0,336.0
636.0,334.0
674.0,361.0
686.0,378.0
697.0,400.0
711.0,417.0
721.0,436.0
734.0,459.0
745.0,479.0
754.0,499.0
757.0,513.0
761.0,528.0
767.0,573.0
764.0,579.0
761.0,583.0
759.0,584.0
737.0,550.0
731.0,538.0
720.0,510.0
718.0,489.0
713.0,467.0
708.0,442.0
708.0,442.0
699.0,356.0
698.0,339.0
695.0,330.0
694.0,321.0
694.0,320.0
694.0,324.0
700.0,351.0
705.0,363.0
711.0,375.0
718.0,388.0
728.0,401.0
738.0,413.0
749.0,421.0
768.0,431.0
775.0,430.0
790.0,404.0
791.0,392.0
788.0,380.0
788.0,363.0
785.0,348.0
786.0,330.0
786.0,317.0
807.0,291.0
817.0,297.0
825.0,306.0
825.0,306.0
832.0,313.0
842.0,328.0
855.0,343.0
867.0,355.0
883.0,369.0
903.0,384.0
932.0,412.0
934.0,416.0
934.0,416.0
925.0,412.0
925.0,412.0
911.0,404.0
891.0,379.0
894.0,359.0
894.0,359.0
903.0,346.0
903.0,346.0
921.0,333.0
960.0,330.0
980.0,340.0
980.0,340.0
990.0,356.0
996.0,379.0
996.0,379.0
1001.0,400.0
1001.0,400.0
983.0,436.0
966.0,446.0
966.0,446.0
948.0,444.0
933.0,436.0
933.0,436.0
940.0,410.0
966.0,399.0
966.0,399.0
992.0,391.0
992.0,391.0
1024.0,385.0
1073.0,372.0
1093.0,375.0
1093.0,375.0
1103.0,385.0
1109.0,397.0
1109.0,397.0
1089.0,415.0
1071.0,413.0
1052.0,403.0
1052.0,403.0
1036.0,386.0
1036.0,386.0
1026.0,346.0
1031.0,329.0
1031.0,329.0
1040.0,319.0
1053.0,308.0
1053.0,308.0
1067.0,300.0
1067.0,300.0
1099.0,297.0
1112.0,294.0
1112.0,294.0
1119.0,297.0
1122.0,303.0
1122.0,303.0
1111.0,319.0
1099.0,336.0
1099.0,336.0
1087.0,367.0
1078.0,395.0
1078.0,395.0
1049.0,459.0
1039.0,482.0
1035.0,503.0
1035.0,503.0
1039.0,518.0
1039.0,518.0
1051.0,533.0
1059.0,531.0
1068.0,525.0
1068.0,525.0
1068.0,491.0
1059.0,477.0
1059.0,477.0
1047.0,467.0
1036.0,458.0
1036.0,458.0
1019.0,452.0
1016.0,451.0
1016.0,451.0
1018.0,450.0
1018.0,450.0
