x,y
812.0,530.0
811.0,534.0
807.0,537.0
810.0,537.0
813.0,531.0
815.0,520.0
815.0,503.0
816.0,483.0
813.0,471.0
809.0,455.0
809.0,405.0
809.0,400.0
809.0,397.0
807.0,399.0
813.0,428.0
816.0,437.0
821.0,445.0
828.0,449.0
837.0,451.0
853.0,454.0
846.0,451.0
840.0,447.0
832.0,442.0
826.0,437.0
822.0,433.0
819.0,429.0
821.0,427.0
847.0,409.0
852.0,409.0
857.0,409.0
862.0,414.0
868.0,424.0
872.0,455.0
872.0,452.0
874.0,445.0
873.0,435.0
877.0,422.0
877.0,422.0
886.0,407.0
893.0,412.0
901.0,415.0
910.0,421.0
926.0,432.0
930.0,437.0
928.0,452.0
921.0,452.0
913.0,449.0
904.0,445.0
901.0,438.0
896.0,429.0
894.0,421.0
898.0,409.0
921.0,413.0
921.0,413.0
927.0,422.0
930.0,431.0
932.0,448.0
932.0,443.0
930.0,428.0
932.0,422.0
934.0,413.0
933.0,407.0
935.0,404.0
935.0,404.0
948.0,406.0
953.0,406.0
965.0,410.0
970.0,411.0
972.0,411.0
970.0,416.0
