x,y
854.0,514.0
862.0,521.0
871.0,532.0
880.0,543.0
909.0,605.0
912.0,619.0
910.0,629.0
906.0,631.0
901.0,628.0
896.0,621.0
879.0,554.0
873.0,532.0
871.0,509.0
872.0,493.0
870.0,475.0
885.0,451.0
891.0,452.0
899.0,458.0
906.0,467.0
915.0,477.0
923.0,489.0
928.0,520.0
924.0,522.0
916.0,519.0
909.0,515.0
903.0,506.0
898.0,470.0
902.0,464.0
912.0,461.0
912.0,461.0
920.0,465.0
932.0,498.0
932.0,506.0
932.0,511.0
930.0,514.0
932.0,512.0
933.0,499.0
934.0,489.0
939.0,458.0
941.0,454.0
942.0,451.0
940.0,455.0
941.0,460.0
941.0,470.0
939.0,480.0
927.0,527.0
924.0,538.0
921.0,547.0
918.0,558.0
912.0,561.0
912.0,557.0
923.0,545.0
932.0,538.0
941.0,531.0
948.0,527.0
