x,y
615.0,390.0
615.0,390.0
623.0,397.0
638.0,416.0
667.0,456.0
667.0,456.0
688.0,502.0
688.0,502.0
703.0,541.0
703.0,541.0
698.0,564.0
698.0,564.0
698.0,564.0
685.0,574.0
672.0,565.0
672.0,565.0
672.0,565.0
665.0,546.0
663.0,515.0
663.0,515.0
663.0,479.0
663.0,479.0
664.0,431.0
667.0,390.0
667.0,390.0
675.0,365.0
675.0,365.0
675.0,365.0
697.0,355.0
721.0,363.0
721.0,363.0
721.0,363.0
756.0,396.0
783.0,424.0
783.0,424.0
788.0,449.0
788.0,449.0
788.0,449.0
770.0,468.0
770.0,468.0
770.0,468.0
747.0,466.0
728.0,451.0
728.0,451.0
722.0,421.0
722.0,421.0
728.0,388.0
741.0,363.0
741.0,363.0
762.0,353.0
762.0,353.0
762.0,353.0
779.0,368.0
786.0,400.0
786.0,400.0
786.0,400.0
785.0,425.0
785.0,425.0
786.0,444.0
784.0,448.0
784.0,448.0
782.0,436.0
782.0,411.0
782.0,411.0
782.0,411.0
787.0,380.0
787.0,380.0
795.0,356.0
811.0,343.0
811.0,343.0
846.0,353.0
872.0,378.0
872.0,378.0
892.0,408.0
890.0,435.0
890.0,435.0
873.0,456.0
852.0,458.0
852.0,458.0
852.0,458.0
838.0,440.0
838.0,440.0
834.0,410.0
840.0,373.0
840.0,373.0
861.0,344.0
880.0,343.0
880.0,343.0
896.0,355.0
904.0,384.0
904.0,384.0
904.0,384.0
895.0,437.0
874.0,461.0
874.0,461.0
874.0,461.0
852.0,478.0
852.0,478.0
835.0,492.0
813.0,508.0
813.0,508.0
792.0,525.0
769.0,544.0
769.0,544.0
769.0,544.0
750.0,561.0
750.0,561.0
736.0,570.0
735.0,571.0
735.0,571.0
735.0,571.0
746.0,566.0
746.0,566.0
769.0,554.0
795.0,543.0
795.0,543.0
795.0,543.0
830.0,533.0
