x,y
666.0,577.0
661.0,563.0
656.0,558.0
650.0,548.0
647.0,530.0
638.0,514.0
609.0,436.0
602.0,419.0
600.0,396.0
600.0,396.0
595.0,374.0
597.0,367.0
668.0,377.0
690.0,384.0
709.0,393.0
726.0,404.0
740.0,415.0
740.0,415.0
748.0,437.0
711.0,433.0
702.0,421.0
692.0,412.0
684.0,404.0
682.0,393.0
681.0,382.0
687.0,370.0
694.0,360.0
747.0,370.0
758.0,382.0
770.0,392.0
777.0,405.0
785.0,414.0
788.0,422.0
793.0,424.0
796.0,403.0
798.0,392.0
801.0,382.0
803.0,375.0
803.0,367.0
800.0,361.0
798.0,358.0
806.0,392.0
812.0,404.0
819.0,412.0
827.0,424.0
837.0,429.0
848.0,435.0
856.0,434.0
882.0,406.0
884.0,397.0
883.0,388.0
884.0,382.0
883.0,377.0
881.0,376.0
879.0,377.0
863.0,390.0
854.0,400.0
842.0,403.0
829.0,409.0
815.0,415.0
797.0,424.0
780.0,430.0
763.0,435.0
707.0,450.0
700.0,456.0
694.0,456.0
691.0,464.0
694.0,469.0
696.0,477.0
702.0,485.0
734.0,518.0
742.0,518.0
743.0,527.0
749.0,522.0
751.0,522.0
754.0,513.0
762.0,488.0
762.0,486.0
761.0,482.0
760.0,478.0
