x,y
730.0,494.0
730.0,494.0
727.0,494.0
739.0,499.0
739.0,499.0
774.0,526.0
790.0,551.0
790.0,551.0
802.0,573.0
805.0,602.0
798.0,600.0
798.0,600.0
790.0,579.0
790.0,579.0
780.0,551.0
776.0,520.0
776.0,520.0
770.0,467.0
773.0,453.0
778.0,448.0
778.0,448.0
801.0,459.0
818.0,468.0
818.0,468.0
832.0,485.0
832.0,485.0
835.0,495.0
821.0,497.0
808.0,489.0
808.0,489.0
797.0,457.0
799.0,446.0
809.0,445.0
809.0,445.0
823.0,455.0
823.0,455.0
837.0,483.0
841.0,492.0
838.0,483.0
838.0,483.0
836.0,450.0
843.0,446.0
853.0,456.0
853.0,456.0
875.0,486.0
881.0,492.0
881.0,492.0
885.0,490.0
885.0,475.0
885.0,475.0
881.0,448.0
880.0,443.0
880.0,443.0
876.0,454.0
876.0,454.0
881.0,469.0
903.0,491.0
912.0,492.0
912.0,492.0
918.0,482.0
918.0,482.0
917.0,467.0
923.0,451.0
932.0,456.0
932.0,456.0
944.0,471.0
944.0,471.0
958.0,492.0
982.0,545.0
986.0,567.0
986.0,567.0
987.0,587.0
981.0,597.0
981.0,597.0
970.0,577.0
966.0,555.0
966.0,555.0
965.0,528.0
965.0,528.0
962.0,500.0
959.0,463.0
959.0,459.0
959.0,459.0
959.0,465.0
959.0,465.0
963.0,478.0
980.0,505.0
988.0,509.0
988.0,509.0
995.0,504.0
995.0,504.0
996.0,492.0
1000.0,462.0
1003.0,452.0
1003.0,452.0
1006.0,451.0
1000.0,451.0
1000.0,451.0
973.0,452.0
947.0,446.0
947.0,446.0
918.0,436.0
918.0,436.0
887.0,426.0
845.0,405.0
835.0,395.0
835.0,395.0
830.0,391.0
