x,y
708.0,461.0
704.0,454.0
703.0,445.0
700.0,440.0
697.0,427.0
685.0,370.0
681.0,358.0
680.0,343.0
677.0,329.0
673.0,316.0
664.0,310.0
663.0,296.0
662.0,258.0
665.0,254.0
669.0,247.0
673.0,243.0
680.0,240.0
689.0,240.0
697.0,242.0
737.0,267.0
749.0,278.0
755.0,288.0
761.0,299.0
759.0,308.0
762.0,316.0
761.0,321.0
736.0,319.0
727.0,314.0
721.0,308.0
718.0,299.0
716.0,287.0
714.0,281.0
717.0,266.0
742.0,244.0
752.0,241.0
761.0,243.0
770.0,251.0
777.0,260.0
780.0,271.0
780.0,287.0
771.0,314.0
766.0,317.0
763.0,321.0
760.0,319.0
758.0,321.0
759.0,314.0
762.0,311.0
788.0,305.0
795.0,311.0
801.0,313.0
806.0,318.0
810.0,320.0
813.0,320.0
811.0,294.0
813.0,280.0
814.0,274.0
814.0,265.0
814.0,260.0
813.0,257.0
813.0,257.0
814.0,263.0
816.0,291.0
822.0,302.0
828.0,315.0
832.0,323.0
840.0,331.0
845.0,332.0
850.0,331.0
856.0,297.0
857.0,283.0
859.0,274.0
859.0,264.0
861.0,255.0
864.0,251.0
869.0,250.0
871.0,251.0
861.0,273.0
855.0,280.0
846.0,292.0
838.0,297.0
825.0,306.0
811.0,314.0
798.0,324.0
755.0,342.0
747.0,347.0
743.0,350.0
741.0,355.0
741.0,363.0
743.0,371.0
760.0,377.0
763.0,377.0
767.0,366.0
767.0,354.0
767.0,354.0
765.0,348.0
763.0,342.0
744.0,311.0
739.0,311.0
734.0,313.0
727.0,316.0
716.0,329.0
710.0,338.0
704.0,344.0
694.0,370.0
694.0,375.0
695.0,379.0
698.0,379.0
703.0,388.0
710.0,389.0
726.0,393.0
764.0,412.0
779.0,416.0
790.0,422.0
798.0,428.0
806.0,429.0
811.0,432.0
812.0,431.0
813.0,431.0
809.0,424.0
