x,y
472.0,408.0
471.0,415.0
470.0,416.0
470.0,416.0
471.0,390.0
474.0,358.0
474.0,358.0
474.0,358.0
477.0,333.0
477.0,333.0
477.0,337.0
479.0,366.0
479.0,366.0
479.0,366.0
491.0,400.0
491.0,400.0
507.0,426.0
533.0,441.0
533.0,441.0
552.0,427.0
560.0,398.0
560.0,398.0
560.0,398.0
561.0,362.0
561.0,362.0
562.0,347.0
568.0,366.0
568.0,366.0
568.0,366.0
565.0,393.0
565.0,393.0
574.0,421.0
585.0,437.0
585.0,437.0
598.0,441.0
612.0,422.0
612.0,422.0
612.0,422.0
626.0,394.0
626.0,394.0
647.0,360.0
664.0,349.0
664.0,349.0
664.0,349.0
681.0,358.0
681.0,358.0
701.0,374.0
720.0,399.0
720.0,399.0
720.0,399.0
727.0,419.0
727.0,419.0
722.0,442.0
702.0,450.0
702.0,450.0
702.0,450.0
672.0,435.0
672.0,435.0
661.0,415.0
662.0,384.0
662.0,384.0
673.0,355.0
696.0,340.0
696.0,340.0
696.0,340.0
712.0,353.0
712.0,353.0
723.0,373.0
722.0,408.0
722.0,408.0
722.0,431.0
722.0,433.0
722.0,433.0
722.0,433.0
718.0,411.0
718.0,411.0
724.0,381.0
725.0,342.0
725.0,342.0
725.0,342.0
731.0,326.0
731.0,326.0
744.0,329.0
772.0,368.0
772.0,368.0
802.0,388.0
