x,y
720.0,519.0
720.0,519.0
718.0,522.0
730.0,525.0
739.0,514.0
739.0,514.0
745.0,495.0
740.0,442.0
738.0,435.0
738.0,435.0
740.0,438.0
740.0,438.0
744.0,460.0
758.0,502.0
770.0,512.0
770.0,512.0
795.0,512.0
797.0,494.0
796.0,467.0
796.0,467.0
796.0,438.0
796.0,438.0
790.0,464.0
797.0,487.0
797.0,487.0
808.0,507.0
832.0,512.0
838.0,497.0
838.0,497.0
839.0,477.0
839.0,477.0
834.0,454.0
846.0,444.0
863.0,454.0
863.0,454.0
877.0,471.0
889.0,496.0
889.0,496.0
900.0,527.0
898.0,517.0
898.0,517.0
892.0,493.0
892.0,457.0
892.0,457.0
923.0,434.0
948.0,456.0
948.0,456.0
957.0,485.0
957.0,485.0
963.0,508.0
961.0,509.0
959.0,491.0
959.0,491.0
957.0,465.0
957.0,465.0
962.0,445.0
981.0,446.0
997.0,456.0
997.0,456.0
1016.0,469.0
1016.0,469.0
1032.0,479.0
1049.0,509.0
1044.0,516.0
1044.0,516.0
1026.0,517.0
1007.0,503.0
991.0,464.0
991.0,464.0
996.0,444.0
996.0,444.0
1019.0,442.0
1031.0,464.0
1040.0,487.0
1040.0,487.0
1046.0,509.0
1046.0,509.0
1043.0,505.0
1041.0,484.0
1043.0,453.0
1043.0,453.0
1046.0,428.0
1046.0,428.0
