x,y
628.0,480.0
629.0,480.0
632.0,476.0
628.0,483.0
629.0,485.0
630.0,489.0
636.0,505.0
642.0,507.0
640.0,509.0
645.0,497.0
642.0,501.0
644.0,491.0
644.0,491.0
646.0,480.0
648.0,446.0
644.0,444.0
644.0,441.0
646.0,440.0
647.0,440.0
647.0,442.0
648.0,455.0
654.0,480.0
657.0,488.0
661.0,491.0
667.0,497.0
669.0,503.0
671.0,506.0
677.0,501.0
686.0,468.0
684.0,462.0
682.0,453.0
684.0,442.0
682.0,438.0
684.0,430.0
690.0,443.0
704.0,450.0
701.0,474.0
701.0,474.0
708.0,481.0
711.0,492.0
736.0,511.0
745.0,500.0
745.0,496.0
747.0,484.0
743.0,465.0
742.0,457.0
742.0,447.0
747.0,443.0
754.0,443.0
759.0,450.0
764.0,455.0
769.0,458.0
775.0,468.0
781.0,488.0
787.0,494.0
783.0,499.0
785.0,495.0
783.0,489.0
785.0,482.0
783.0,474.0
782.0,475.0
783.0,467.0
791.0,455.0
808.0,450.0
813.0,458.0
817.0,466.0
821.0,472.0
827.0,500.0
826.0,498.0
823.0,493.0
819.0,486.0
817.0,484.0
819.0,472.0
824.0,453.0
829.0,449.0
835.0,446.0
842.0,444.0
859.0,446.0
870.0,450.0
879.0,457.0
888.0,463.0
900.0,481.0
900.0,487.0
894.0,492.0
887.0,492.0
880.0,490.0
861.0,486.0
855.0,478.0
851.0,473.0
848.0,464.0
853.0,446.0
859.0,441.0
866.0,438.0
873.0,435.0
880.0,437.0
892.0,442.0
899.0,465.0
896.0,474.0
890.0,482.0
890.0,482.0
885.0,482.0
877.0,487.0
870.0,485.0
865.0,486.0
879.0,478.0
887.0,480.0
897.0,483.0
906.0,486.0
929.0,495.0
930.0,499.0
932.0,491.0
930.0,484.0
928.0,475.0
926.0,467.0
924.0,452.0
921.0,445.0
920.0,434.0
922.0,432.0
925.0,441.0
928.0,456.0
930.0,464.0
934.0,473.0
939.0,480.0
947.0,485.0
951.0,484.0
965.0,468.0
965.0,468.0
968.0,463.0
966.0,450.0
968.0,439.0
970.0,430.0
990.0,419.0
998.0,425.0
1005.0,433.0
1009.0,439.0
1009.0,439.0
1015.0,443.0
1016.0,447.0
997.0,444.0
987.0,448.0
973.0,452.0
957.0,456.0
942.0,462.0
930.0,468.0
917.0,474.0
917.0,474.0
857.0,492.0
850.0,495.0
843.0,496.0
841.0,499.0
839.0,503.0
840.0,503.0
849.0,516.0
853.0,520.0
858.0,524.0
861.0,529.0
865.0,534.0
865.0,538.0
871.0,539.0
874.0,534.0
875.0,532.0
881.0,528.0
883.0,527.0
889.0,525.0
895.0,521.0
899.0,523.0
892.0,511.0
884.0,502.0
877.0,496.0
871.0,489.0
866.0,477.0
864.0,468.0
861.0,456.0
859.0,411.0
860.0,402.0
859.0,397.0
859.0,400.0
